education,language,age_category,income_category,gender,province,health,citizenship,born_in_canada,marital_status,owns_house,total_samples,category_samples,poststrat_weight
No degree/diploma,French only,75-84,"$25,000 to $49,999",Male,Quebec,Good/Very Good,Yes,Yes,Widowed,No residence,10066,2,1.9868865487780648e-4
High School,English only,55-64,"$25,000 to $49,999",Female,Ontario,Excellent,Yes,No,Married,Owns a residence,10066,2,1.9868865487780648e-4
Postgrad,Both English and French,35-44,"$125,000 and more",Female,Ontario,Good/Very Good,Yes,Yes,Married,Owns a residence,10066,1,9.934432743890324e-5
No degree/diploma,English only,75-84,"$25,000 to $49,999",Male,Newfoundland and Labrador,Good/Very Good,Yes,Yes,Married,Owns a residence,10066,2,1.9868865487780648e-4
College/Trade,English only,55-64,"$125,000 and more",Male,Alberta,Good/Very Good,Yes,Yes,Married,Owns a residence,10066,4,3.9737730975561295e-4
College/Trade,English only,45-54,"$50,000 to $74,999",Male,Saskatchewan,Good/Very Good,Yes,Yes,Living with a partner,Owns a residence,10066,1,9.934432743890324e-5
High School,English only,35-44,"$25,000 to $49,999",Female,Alberta,Poor/Fair,Yes,Yes,Divorced,No residence,10066,1,9.934432743890324e-5
High School,English only,45-54,"$25,000 to $49,999",Female,Saskatchewan,Excellent,No,No,Married,Owns a residence,10066,1,9.934432743890324e-5
Postgrad,English only,65-74,"$25,000 to $49,999",Female,Ontario,Poor/Fair,Yes,Yes,Divorced,No residence,10066,1,9.934432743890324e-5
No degree/diploma,French only,65-74,"Less than $25,000",Female,New Brunswick,Good/Very Good,Yes,Yes,Living with a partner,Owns a residence,10066,1,9.934432743890324e-5
College/Trade,English only,65-74,"$75,000 to $99,999",Male,British Columbia,Good/Very Good,Yes,Yes,Married,No residence,10066,1,9.934432743890324e-5
High School,English only,55-64,"Less than $25,000",Male,Ontario,Poor/Fair,Yes,Yes,Never Married,No residence,10066,5,4.967216371945162e-4
No degree/diploma,French only,45-54,"$25,000 to $49,999",Male,Quebec,Excellent,No,No,Married,No residence,10066,1,9.934432743890324e-5
College/Trade,English only,55-64,"$50,000 to $74,999",Female,Ontario,Poor/Fair,Yes,No,Divorced,No residence,10066,1,9.934432743890324e-5
College/Trade,English only,35-44,"$75,000 to $99,999",Female,Ontario,Excellent,Yes,Yes,Married,Owns a residence,10066,2,1.9868865487780648e-4
No degree/diploma,English only,65-74,"$50,000 to $74,999",Male,Manitoba,Poor/Fair,Yes,Yes,Married,Owns a residence,10066,1,9.934432743890324e-5
No degree/diploma,English only,75-84,"$25,000 to $49,999",Male,Ontario,Don't Know,Yes,Yes,Separated,No residence,10066,1,9.934432743890324e-5
No degree/diploma,English only,65-74,"$25,000 to $49,999",Female,British Columbia,Poor/Fair,Yes,No,Widowed,Owns a residence,10066,2,1.9868865487780648e-4
College/Trade,French only,25-34,"$25,000 to $49,999",Male,Quebec,Excellent,No,No,Living with a partner,No residence,10066,1,9.934432743890324e-5
No degree/diploma,French only,75-84,"Less than $25,000",Male,Quebec,Poor/Fair,Yes,Yes,Separated,No residence,10066,2,1.9868865487780648e-4
No degree/diploma,English only,35-44,"$50,000 to $74,999",Male,Prince Edward Island,Good/Very Good,Yes,Yes,Living with a partner,Owns a residence,10066,1,9.934432743890324e-5
No degree/diploma,English only,25-34,"Less than $25,000",Male,Ontario,Excellent,Yes,Yes,Married,Owns a residence,10066,1,9.934432743890324e-5
Postgrad,English only,65-74,"$75,000 to $99,999",Male,Ontario,Excellent,Yes,Yes,Married,Owns a residence,10066,3,2.9803298231670974e-4
Postgrad,English only,35-44,"$75,000 to $99,999",Female,British Columbia,Good/Very Good,Yes,Yes,Never Married,No residence,10066,1,9.934432743890324e-5
High School,Both English and French,65-74,"Less than $25,000",Female,Ontario,Poor/Fair,Yes,Yes,Married,No residence,10066,1,9.934432743890324e-5
College/Trade,English only,25-34,"Less than $25,000",Male,Prince Edward Island,Good/Very Good,Yes,Yes,Married,Owns a residence,10066,1,9.934432743890324e-5
High School,English only,25-34,"Less than $25,000",Male,Alberta,Good/Very Good,Yes,Yes,Never Married,Owns a residence,10066,1,9.934432743890324e-5
High School,English only,25-34,"Less than $25,000",Female,British Columbia,Good/Very Good,Yes,Yes,Never Married,No residence,10066,2,1.9868865487780648e-4
College/Trade,English only,35-44,"Less than $25,000",Female,British Columbia,Good/Very Good,Yes,Yes,Living with a partner,No residence,10066,1,9.934432743890324e-5
High School,French only,65-74,"$25,000 to $49,999",Female,Quebec,Good/Very Good,Yes,Yes,Never Married,No residence,10066,1,9.934432743890324e-5
High School,English only,65-74,"$25,000 to $49,999",Female,Saskatchewan,Excellent,Yes,Yes,Married,Owns a residence,10066,2,1.9868865487780648e-4
College/Trade,Both English and French,25-34,"$25,000 to $49,999",Female,Quebec,Poor/Fair,Yes,Yes,Never Married,No residence,10066,3,2.9803298231670974e-4
College/Trade,English only,55-64,"Less than $25,000",Female,Ontario,Poor/Fair,Yes,Yes,Married,No residence,10066,1,9.934432743890324e-5
College/Trade,Both English and French,45-54,"Less than $25,000",Female,New Brunswick,Good/Very Good,Yes,Yes,Married,Owns a residence,10066,1,9.934432743890324e-5
No degree/diploma,English only,75-84,"$25,000 to $49,999",Female,Newfoundland and Labrador,Good/Very Good,Yes,Yes,Widowed,Owns a residence,10066,2,1.9868865487780648e-4
No degree/diploma,English only,15-24,"Less than $25,000",Female,Alberta,Excellent,Yes,Yes,Never Married,Owns a residence,10066,6,5.960659646334195e-4
High School,English only,55-64,"Less than $25,000",Male,Alberta,Poor/Fair,Yes,Yes,Widowed,No residence,10066,1,9.934432743890324e-5
High School,English only,75-84,"$50,000 to $74,999",Male,Ontario,Good/Very Good,Yes,Yes,Widowed,No residence,10066,1,9.934432743890324e-5
College/Trade,English only,65-74,"Less than $25,000",Male,British Columbia,Poor/Fair,Yes,Yes,Divorced,No residence,10066,1,9.934432743890324e-5
No degree/diploma,Both English and French,65-74,"Less than $25,000",Female,Nova Scotia,Poor/Fair,Yes,Yes,Married,Owns a residence,10066,1,9.934432743890324e-5
No degree/diploma,English only,75-84,"$25,000 to $49,999",Male,Ontario,Good/Very Good,Yes,Yes,Married,Owns a residence,10066,5,4.967216371945162e-4
High School,English only,55-64,"$50,000 to $74,999",Female,Ontario,Excellent,Yes,Yes,Married,Owns a residence,10066,5,4.967216371945162e-4
High School,English only,65-74,"$50,000 to $74,999",Male,Ontario,Good/Very Good,Yes,Yes,Widowed,Owns a residence,10066,1,9.934432743890324e-5
High School,English only,15-24,"Less than $25,000",Female,Manitoba,Good/Very Good,Yes,Yes,Never Married,No residence,10066,1,9.934432743890324e-5
High School,English only,75-84,"$50,000 to $74,999",Male,Ontario,Poor/Fair,Yes,Yes,Married,Owns a residence,10066,3,2.9803298231670974e-4
College/Trade,Both English and French,45-54,"$50,000 to $74,999",Female,Quebec,Excellent,Yes,Yes,Married,Owns a residence,10066,3,2.9803298231670974e-4
College/Trade,English only,55-64,"$25,000 to $49,999",Male,Ontario,Good/Very Good,Yes,Yes,Married,Owns a residence,10066,4,3.9737730975561295e-4
Postgrad,French only,55-64,"$50,000 to $74,999",Female,Quebec,Excellent,Yes,Yes,Never Married,Owns a residence,10066,1,9.934432743890324e-5
College/Trade,English only,35-44,"$25,000 to $49,999",Female,Alberta,Good/Very Good,Yes,Yes,Never Married,Owns a residence,10066,1,9.934432743890324e-5
No degree/diploma,English only,55-64,"$50,000 to $74,999",Male,Ontario,Excellent,Yes,Yes,Divorced,Owns a residence,10066,1,9.934432743890324e-5
High School,English only,65-74,"$25,000 to $49,999",Female,Newfoundland and Labrador,Good/Very Good,No,No,Widowed,Owns a residence,10066,1,9.934432743890324e-5
Postgrad,English only,45-54,"$125,000 and more",Male,Newfoundland and Labrador,Excellent,Yes,Yes,Married,Owns a residence,10066,1,9.934432743890324e-5
No degree/diploma,English only,35-44,"$50,000 to $74,999",Female,New Brunswick,Good/Very Good,Yes,Yes,Separated,Owns a residence,10066,1,9.934432743890324e-5
College/Trade,English only,65-74,"$50,000 to $74,999",Female,Alberta,Poor/Fair,Yes,Yes,Married,Owns a residence,10066,1,9.934432743890324e-5
Postgrad,English only,75-84,"$100,000 to $ 124,999",Male,British Columbia,Good/Very Good,Yes,Yes,Married,Owns a residence,10066,1,9.934432743890324e-5
High School,English only,45-54,"Less than $25,000",Female,Ontario,Good/Very Good,Yes,Yes,Living with a partner,Owns a residence,10066,1,9.934432743890324e-5
College/Trade,English only,45-54,"$25,000 to $49,999",Female,British Columbia,Good/Very Good,Yes,Yes,Living with a partner,Owns a residence,10066,1,9.934432743890324e-5
No degree/diploma,English only,75-84,"Less than $25,000",Male,Ontario,Poor/Fair,Yes,No,Separated,No residence,10066,1,9.934432743890324e-5
Postgrad,English only,45-54,"$75,000 to $99,999",Female,Newfoundland and Labrador,Good/Very Good,Yes,Yes,Married,Owns a residence,10066,1,9.934432743890324e-5
No degree/diploma,French only,65-74,"Less than $25,000",Female,Quebec,Excellent,Yes,Yes,Married,Owns a residence,10066,4,3.9737730975561295e-4
Postgrad,Both English and French,65-74,"Less than $25,000",Male,British Columbia,Poor/Fair,Yes,Yes,Divorced,No residence,10066,1,9.934432743890324e-5
No degree/diploma,English only,75-84,"Less than $25,000",Male,Ontario,Poor/Fair,Yes,Yes,Never Married,Owns a residence,10066,1,9.934432743890324e-5
College/Trade,English only,65-74,"Less than $25,000",Female,Nova Scotia,Good/Very Good,Yes,Yes,Never Married,Owns a residence,10066,2,1.9868865487780648e-4
College/Trade,English only,55-64,"Less than $25,000",Female,British Columbia,Excellent,Yes,Yes,Never Married,No residence,10066,1,9.934432743890324e-5
High School,English only,65-74,"Less than $25,000",Female,Ontario,Good/Very Good,Yes,No,Married,Owns a residence,10066,7,6.954102920723226e-4
College/Trade,English only,35-44,"$75,000 to $99,999",Male,Ontario,Don't Know,Yes,Yes,Married,Owns a residence,10066,1,9.934432743890324e-5
College/Trade,English only,25-34,"$25,000 to $49,999",Female,Ontario,Good/Very Good,Yes,Yes,Married,Owns a residence,10066,2,1.9868865487780648e-4
High School,English only,35-44,"$75,000 to $99,999",Male,Saskatchewan,Excellent,Yes,Yes,Living with a partner,Owns a residence,10066,1,9.934432743890324e-5
College/Trade,English only,55-64,"$25,000 to $49,999",Male,Alberta,Good/Very Good,Yes,Yes,Married,Owns a residence,10066,1,9.934432743890324e-5
No degree/diploma,English only,75-84,"$50,000 to $74,999",Male,Prince Edward Island,Good/Very Good,Yes,No,Never Married,Owns a residence,10066,1,9.934432743890324e-5
High School,Both English and French,55-64,"Less than $25,000",Male,Quebec,Poor/Fair,Yes,Yes,Married,No residence,10066,1,9.934432743890324e-5
High School,English only,15-24,"Less than $25,000",Female,Alberta,Good/Very Good,Yes,Yes,Never Married,Owns a residence,10066,2,1.9868865487780648e-4
High School,English only,65-74,"$25,000 to $49,999",Female,New Brunswick,Poor/Fair,Yes,Yes,Divorced,No residence,10066,1,9.934432743890324e-5
College/Trade,French only,55-64,"$25,000 to $49,999",Female,Quebec,Good/Very Good,Yes,Yes,Married,Owns a residence,10066,4,3.9737730975561295e-4
Postgrad,Both English and French,25-34,"Less than $25,000",Female,Quebec,Excellent,Yes,No,Living with a partner,No residence,10066,1,9.934432743890324e-5
High School,English only,55-64,"$25,000 to $49,999",Female,Saskatchewan,Excellent,Yes,Yes,Divorced,Owns a residence,10066,1,9.934432743890324e-5
High School,English only,55-64,"Less than $25,000",Female,Manitoba,Poor/Fair,Yes,Yes,Never Married,Owns a residence,10066,1,9.934432743890324e-5
High School,English only,55-64,"$25,000 to $49,999",Female,Alberta,Good/Very Good,Yes,Yes,Married,Owns a residence,10066,4,3.9737730975561295e-4
High School,English only,65-74,"$50,000 to $74,999",Male,Nova Scotia,Good/Very Good,Yes,No,Married,Owns a residence,10066,2,1.9868865487780648e-4
No degree/diploma,Both English and French,55-64,"Less than $25,000",Male,Ontario,Poor/Fair,Yes,Yes,Separated,No residence,10066,1,9.934432743890324e-5
College/Trade,English only,25-34,"$100,000 to $ 124,999",Male,Newfoundland and Labrador,Good/Very Good,Yes,Yes,Married,Owns a residence,10066,1,9.934432743890324e-5
College/Trade,Both English and French,15-24,"Less than $25,000",Male,Ontario,Good/Very Good,Yes,Yes,Never Married,Owns a residence,10066,1,9.934432743890324e-5
High School,English only,65-74,"$75,000 to $99,999",Male,British Columbia,Good/Very Good,Yes,Yes,Separated,Owns a residence,10066,1,9.934432743890324e-5
No degree/diploma,English only,15-24,"Less than $25,000",Female,Manitoba,Excellent,No,No,Married,Owns a residence,10066,1,9.934432743890324e-5
High School,English only,15-24,"$25,000 to $49,999",Male,Nova Scotia,Good/Very Good,Yes,Yes,Never Married,Owns a residence,10066,1,9.934432743890324e-5
College/Trade,English only,75-84,"Less than $25,000",Female,British Columbia,Good/Very Good,Yes,No,Married,Owns a residence,10066,1,9.934432743890324e-5
High School,French only,55-64,"Less than $25,000",Female,Quebec,Good/Very Good,Yes,Yes,Married,Owns a residence,10066,3,2.9803298231670974e-4
No degree/diploma,English only,65-74,"$25,000 to $49,999",Male,Ontario,Poor/Fair,Yes,No,Married,Owns a residence,10066,1,9.934432743890324e-5
No degree/diploma,English only,15-24,"Less than $25,000",Male,Ontario,Excellent,Yes,Yes,Never Married,Owns a residence,10066,15,0.0014901649115835486
College/Trade,English only,75-84,"$25,000 to $49,999",Female,Saskatchewan,Good/Very Good,Yes,Yes,Married,Owns a residence,10066,1,9.934432743890324e-5
High School,Both English and French,75-84,"$25,000 to $49,999",Male,British Columbia,Poor/Fair,No,No,Married,No residence,10066,1,9.934432743890324e-5
High School,English only,35-44,"$75,000 to $99,999",Female,British Columbia,Excellent,Yes,Yes,Married,Owns a residence,10066,1,9.934432743890324e-5
High School,English only,65-74,"$25,000 to $49,999",Male,Ontario,Poor/Fair,Yes,Yes,Married,Owns a residence,10066,3,2.9803298231670974e-4
No degree/diploma,Both English and French,25-34,"Less than $25,000",Female,Quebec,Poor/Fair,Yes,Yes,Never Married,No residence,10066,1,9.934432743890324e-5
High School,English only,55-64,"Less than $25,000",Female,New Brunswick,Poor/Fair,Yes,Yes,Married,Owns a residence,10066,4,3.9737730975561295e-4
No degree/diploma,English only,15-24,"Less than $25,000",Male,Alberta,Good/Very Good,Yes,Yes,Never Married,No residence,10066,3,2.9803298231670974e-4
High School,English only,55-64,"Less than $25,000",Male,Nova Scotia,Good/Very Good,Yes,Yes,Married,Owns a residence,10066,1,9.934432743890324e-5
College/Trade,English only,55-64,"$25,000 to $49,999",Female,Ontario,Good/Very Good,Yes,No,Married,Owns a residence,10066,5,4.967216371945162e-4
No degree/diploma,English only,15-24,"Less than $25,000",Male,Manitoba,Excellent,Yes,Yes,Never Married,Owns a residence,10066,3,2.9803298231670974e-4
College/Trade,Both English and French,75-84,"$50,000 to $74,999",Male,Manitoba,Excellent,Yes,Yes,Never Married,Owns a residence,10066,1,9.934432743890324e-5
High School,English only,65-74,"$25,000 to $49,999",Male,British Columbia,Good/Very Good,Yes,Yes,Widowed,Owns a residence,10066,1,9.934432743890324e-5
No degree/diploma,English only,75-84,"$25,000 to $49,999",Female,Alberta,Excellent,Yes,Yes,Widowed,Owns a residence,10066,1,9.934432743890324e-5
College/Trade,English only,55-64,"Less than $25,000",Female,Quebec,Good/Very Good,Yes,No,Divorced,No residence,10066,1,9.934432743890324e-5
No degree/diploma,Both English and French,75-84,"Less than $25,000",Female,Quebec,Poor/Fair,Yes,Yes,Never Married,No residence,10066,1,9.934432743890324e-5
High School,English only,65-74,"$50,000 to $74,999",Female,Ontario,Poor/Fair,Yes,No,Divorced,Owns a residence,10066,1,9.934432743890324e-5
College/Trade,English only,55-64,"Less than $25,000",Male,Saskatchewan,Poor/Fair,Yes,Yes,Married,Owns a residence,10066,2,1.9868865487780648e-4
Postgrad,English only,35-44,"$75,000 to $99,999",Female,British Columbia,Excellent,Yes,No,Married,Owns a residence,10066,1,9.934432743890324e-5
No degree/diploma,English only,75-84,"Less than $25,000",Male,Ontario,Poor/Fair,Yes,Yes,Married,No residence,10066,1,9.934432743890324e-5
College/Trade,Both English and French,65-74,"$50,000 to $74,999",Female,New Brunswick,Excellent,Yes,Yes,Living with a partner,Owns a residence,10066,1,9.934432743890324e-5
College/Trade,English only,45-54,"$25,000 to $49,999",Female,British Columbia,Good/Very Good,Yes,Yes,Never Married,No residence,10066,1,9.934432743890324e-5
College/Trade,English only,25-34,"$25,000 to $49,999",Male,Ontario,Good/Very Good,Yes,Yes,Living with a partner,Owns a residence,10066,1,9.934432743890324e-5
College/Trade,French only,55-64,"Less than $25,000",Female,Quebec,Poor/Fair,Yes,Yes,Living with a partner,Owns a residence,10066,1,9.934432743890324e-5
Postgrad,English only,45-54,"$75,000 to $99,999",Male,Ontario,Excellent,Yes,No,Widowed,Owns a residence,10066,1,9.934432743890324e-5
College/Trade,English only,25-34,"$50,000 to $74,999",Male,Alberta,Excellent,Yes,Yes,Married,Owns a residence,10066,3,2.9803298231670974e-4
High School,French only,75-84,"$25,000 to $49,999",Female,Quebec,Poor/Fair,Yes,Yes,Never Married,Owns a residence,10066,1,9.934432743890324e-5
No degree/diploma,Both English and French,65-74,"Less than $25,000",Female,Quebec,Poor/Fair,Yes,Yes,Widowed,No residence,10066,1,9.934432743890324e-5
College/Trade,English only,55-64,"$75,000 to $99,999",Male,British Columbia,Good/Very Good,Yes,Yes,Married,Owns a residence,10066,3,2.9803298231670974e-4
College/Trade,French only,25-34,"$25,000 to $49,999",Female,Quebec,Poor/Fair,Yes,Yes,Living with a partner,No residence,10066,1,9.934432743890324e-5
No degree/diploma,Both English and French,55-64,"Less than $25,000",Male,New Brunswick,Good/Very Good,Yes,Yes,Never Married,No residence,10066,1,9.934432743890324e-5
College/Trade,English only,35-44,"$25,000 to $49,999",Male,Alberta,Good/Very Good,Yes,Yes,Never Married,No residence,10066,1,9.934432743890324e-5
High School,Both English and French,45-54,"$50,000 to $74,999",Male,Ontario,Poor/Fair,Yes,Yes,Living with a partner,No residence,10066,1,9.934432743890324e-5
High School,Both English and French,15-24,"Less than $25,000",Female,Alberta,Good/Very Good,Yes,Yes,Never Married,No residence,10066,1,9.934432743890324e-5
College/Trade,English only,55-64,"Less than $25,000",Male,Ontario,Excellent,Yes,Yes,Separated,Owns a residence,10066,1,9.934432743890324e-5
No degree/diploma,French only,65-74,"Less than $25,000",Female,Quebec,Good/Very Good,Yes,Yes,Divorced,Owns a residence,10066,5,4.967216371945162e-4
High School,English only,35-44,"$25,000 to $49,999",Female,Alberta,Good/Very Good,Yes,Yes,Married,Owns a residence,10066,2,1.9868865487780648e-4
College/Trade,English only,25-34,"$50,000 to $74,999",Female,British Columbia,Excellent,Yes,Yes,Married,Owns a residence,10066,1,9.934432743890324e-5
Postgrad,Both English and French,55-64,"$50,000 to $74,999",Male,Quebec,Excellent,Yes,Yes,Married,Owns a residence,10066,1,9.934432743890324e-5
No degree/diploma,English only,75-84,"Less than $25,000",Female,Ontario,Good/Very Good,Yes,Yes,Divorced,Owns a residence,10066,1,9.934432743890324e-5
High School,Both English and French,75-84,"$25,000 to $49,999",Male,Nova Scotia,Good/Very Good,Yes,Yes,Living with a partner,Owns a residence,10066,1,9.934432743890324e-5
No degree/diploma,English only,65-74,"$25,000 to $49,999",Female,Manitoba,Excellent,Yes,Yes,Married,Owns a residence,10066,1,9.934432743890324e-5
College/Trade,English only,65-74,"Less than $25,000",Female,Saskatchewan,Good/Very Good,Yes,Yes,Separated,No residence,10066,1,9.934432743890324e-5
Postgrad,English only,35-44,"$100,000 to $ 124,999",Male,Quebec,Excellent,Yes,No,Never Married,Owns a residence,10066,1,9.934432743890324e-5
