cps19_ResponseId,education,language,age_category,income_category,income_number,gender,province,health,citizenship,born_in_canada,marital_status,owns_house,vote_choice,liberal_favour,conservative_favour,ndp_favour,bloc_favour,green_favour,people_favour
R_1lucHmscj47bIEb,Bachelor,French,55-64,"$100,000 to $ 124,999",124000,Male,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,1,0,80,0,15,0,60
R_1mWA5VJSMVBcpJ4,Bachelor,English,55-64,"$25,000 to $49,999",27000,Male,New Brunswick,Excellent,Yes,Yes,Never Married,No residence,4,88,68,85,24,99,32
R_qI0m78Q3aHVjydr,College/Trade,English,65-74,"$25,000 to $49,999",41000,Male,Ontario,Poor/Fair,Yes,Yes,Living with a partner,Own a residence,0,100,1,85,50,70,50
R_wOkztv6sfJLKiel,College/Trade,English,55-64,"$50,000 to $74,999",59000,Male,Nova Scoita,Good/Very Good,Yes,Yes,Never Married,No residence,2,0,0,100,0,9,0
R_30qv36aXWZuK9M6,College/Trade,English_and_French,65-74,"$50,000 to $74,999",70000,Male,Ontario,Poor/Fair,Yes,Yes,Married,Own a residence,0,81,38,60,5,60,0
R_1pRuOG0YodOvLGh,High School,English,35-44,"$50,000 to $74,999",65000,Male,Ontario,Good/Very Good,Yes,Yes,Divorced,Own a residence,0,76,43,60,39,62,31
R_3e9Xu4Bc6CkscZW,Bachelor,English,45-54,"$75,000 to $99,999",85900,Female,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,1,36,77,42.5,29,48.5,5.5
R_DqoBw7ZmMHWgHoB,Bachelor,English_and_French,35-44,"$125,000 and more",175000,Male,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,0,69.66666666666667,20.666666666666668,55.333333333333336,25,34.666666666666664,7
R_1dagV1XDUQPaxsb,College/Trade,English,75-84,"$50,000 to $74,999",74000,Female,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,1,42,63,25,22,73,52
R_6PQUIsQaUsOUJZ7,Bachelor,English,55-64,"$125,000 and more",200000,Male,Ontario,Excellent,Yes,Yes,Married,Own a residence,0,86,43,23,5,50.666666666666664,6.666666666666667
R_3r0cFwbcvyfP6kc,Bachelor,English,55-64,"Less than $25,000",16000,Male,Newfoundland and Labrador,Good/Very Good,Yes,Yes,Married,No residence,1,10,96,15,1,15,62
R_23dSuZrdSAvnvUV,Bachelor,English,65-74,"$75,000 to $99,999",85000,Male,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,0,90.33333333333333,26,53.666666666666664,6.666666666666667,62,0
R_YWCbuTSQdmmcGKl,Postgrad,English,35-44,"$75,000 to $99,999",99000,Female,Ontario,Poor/Fair,Yes,No,Married,Own a residence,1,5.5,79.5,43,30,35,30
R_31HsUEjWfv8WU29,Postgrad,English,75-84,"$50,000 to $74,999",69000,Female,Ontario,Poor/Fair,Yes,Yes,Married,Own a residence,4,61,62,51,9,82,9
R_1dnUyqUZjOYJq6I,Bachelor,English,35-44,"$75,000 to $99,999",95000,Male,Ontario,Poor/Fair,Yes,Yes,Married,Own a residence,1,0,80,3,42,0,65.5
R_3prqB926VGiKpLQ,College/Trade,English,65-74,"Less than $25,000",20000,Male,Ontario,Poor/Fair,Yes,No,Separated,No residence,2,40,15,55,0,20,0
R_yKMtKdEEbsNubIJ,High School,English,35-44,"$50,000 to $74,999",50000,Male,Ontario,Good/Very Good,Yes,Yes,Never Married,No residence,2,1,99,60,1,0,89
R_3HOBUzh5RjbIJlo,College/Trade,English,35-44,"$25,000 to $49,999",30000,Male,Ontario,Don't Know,Yes,Yes,Never Married,No residence,4,0,39,92,0,57,0
R_3lspCSHxbzz3BSY,Postgrad,Neither English nor French,45-54,"$125,000 and more",125000,Male,Ontario,Poor/Fair,Yes,No,Married,Own a residence,0,87,39,78,0,51,51
R_2475Kwb2I2OgUSc,Bachelor,English,45-54,"$75,000 to $99,999",89000,Male,Ontario,Excellent,Yes,Yes,Married,Own a residence,1,0,99,29,33,34,32
R_2PcY3Plnzfpncpj,Postgrad,English,25-34,"$50,000 to $74,999",69000,Female,Ontario,Excellent,Yes,Yes,Married,Own a residence,0,100,100,2,7,0,20
R_3HNC232ig0O4zRn,High School,English,65-74,"$50,000 to $74,999",50000,Female,Ontario,Poor/Fair,Yes,Yes,Married,Own a residence,1,0,100,0,0,0,0
R_1dcTstX450VSSmc,Bachelor,English,65-74,"$50,000 to $74,999",74000,Male,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,0,89.33333333333333,13.666666666666666,36,6.666666666666667,64.33333333333333,2.6666666666666665
R_Q6MdNP6ci3SeMDv,Bachelor,English_and_French,65-74,"$75,000 to $99,999",85000,Male,Ontario,Good/Very Good,Yes,Yes,Married,No residence,0,80,51,22,9,18,22
R_3DvZ2sBpbl11Vvw,High School,English,65-74,"Less than $25,000",20000,Female,Ontario,Good/Very Good,Yes,Yes,Widowed,No residence,1,30,86.5,0,0,43.5,0
R_SCbTtgzZs19jCqB,College/Trade,English,45-54,"$50,000 to $74,999",59000,Male,Ontario,Good/Very Good,Yes,Yes,Never Married,Own a residence,0,85,2,80,2,5,5
R_1gBFBoew44yWD5O,Bachelor,Neither English nor French,55-64,"$25,000 to $49,999",40000,Male,Ontario,Excellent,Yes,Yes,Married,No residence,2,53,6,93,22,54,42
R_22PV5LctDRvXsfa,Bachelor,English,55-64,"$125,000 and more",152000,Female,Ontario,Poor/Fair,Yes,Yes,Married,Own a residence,0,94,1,95,2,91,2
R_2abmDMt5EArm15T,College/Trade,English,65-74,"$50,000 to $74,999",51000,Male,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,0,89.5,60,2,16,57.5,74
R_3gL46e90ZGiLVaK,Bachelor,English,55-64,"$100,000 to $ 124,999",112000,Male,Newfoundland and Labrador,Good/Very Good,Yes,Yes,Married,Own a residence,0,72,6,6,0,61,6
R_efHfjn1Yu6p5Yyd,Bachelor,English_and_French,65-74,"$50,000 to $74,999",50000,Female,Quebec,Good/Very Good,Yes,Yes,Living with a partner,Own a residence,0,75,76,41,0,39,15
R_2zCOda1QfjjD3Bn,Bachelor,English_and_French,75-84,"$50,000 to $74,999",55000,Female,Ontario,Good/Very Good,Yes,Yes,Widowed,Own a residence,0,41,0,41,0,51,1
R_32W1YVMFO2VcmQS,High School,English,75-84,"$50,000 to $74,999",52000,Male,Nova Scoita,Poor/Fair,Yes,Yes,Widowed,No residence,0,21,97,53,0,0,0
R_2Sc81E34iMB8t6h,Postgrad,English,85+,"$25,000 to $49,999",40000,Female,Ontario,Good/Very Good,Yes,Yes,Separated,No residence,0,80,0,50,0,30,0
R_3MmPgIiFuXyh4Dq,Postgrad,Neither English nor French,65-74,"$100,000 to $ 124,999",120000,Male,Ontario,Good/Very Good,Yes,No,Married,Own a residence,0,85,10,65,0,92,0
R_4GxafKMoRWvb8zL,Bachelor,English,55-64,"$25,000 to $49,999",45000,Female,Ontario,Good/Very Good,Yes,Yes,Divorced,Own a residence,1,0,95,0,0,0,100
R_1FPKPeoc8upEB56,No degree/diploma,Neither English nor French,15-24,"Less than $25,000",16000,Male,Alberta,Poor/Fair,Yes,Yes,Never Married,No residence,4,30,30,85,76,72,25
R_3m1ZQTO5aB7NL3T,College/Trade,English,55-64,"$50,000 to $74,999",65000,Male,Ontario,Excellent,Yes,Yes,Divorced,Own a residence,0,90,41,58,12,81,45
R_2rkGW7gepqo2jRx,Bachelor,English,55-64,"$125,000 and more",170000,Female,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,0,87.33333333333333,19,65.33333333333333,25.666666666666668,64.66666666666667,27.666666666666668
R_2ZOIXJNpZN8IO1u,Postgrad,English,55-64,"$75,000 to $99,999",75000,Female,Ontario,Excellent,Yes,Yes,Married,Own a residence,2,83,19,73,0,84,0
R_1n1Tm7Jb19pkZUY,High School,Neither English nor French,65-74,"$50,000 to $74,999",59000,Female,Ontario,Good/Very Good,Yes,No,Married,Own a residence,0,94,30,73,21,82,22
R_xsdp1KIFkEk86bv,College/Trade,English,35-44,"Less than $25,000",15000,Male,Ontario,Poor/Fair,Yes,Yes,Never Married,No residence,2,60,59,50,0,50,14
R_1gbXsomNmdwwaDI,Bachelor,English,45-54,"$100,000 to $ 124,999",100000,Female,Ontario,Good/Very Good,Yes,No,Married,Own a residence,1,61,82,23,21,21,23
R_21dOatnEG6at8fC,Bachelor,English,55-64,"$125,000 and more",240000,Male,Ontario,Good/Very Good,Yes,Yes,Living with a partner,Own a residence,1,5.5,91,25,7,51.5,20
R_3IYOl7HzM73hhoc,College/Trade,English_and_French,35-44,"$25,000 to $49,999",40000,Female,Ontario,Poor/Fair,Yes,Yes,Never Married,No residence,0,72,0,57,0,56,22
R_3QXFi6DCdfjQOuO,College/Trade,English,45-54,"$75,000 to $99,999",80000,Male,British Columbia,Poor/Fair,Yes,Yes,Married,Own a residence,0,42,60,38,15,20,30
R_3CDY4gDmFOQeTGB,College/Trade,English_and_French,65-74,"$75,000 to $99,999",95500,Male,Ontario,Poor/Fair,Yes,Yes,Living with a partner,No residence,2,72,0,92,63,0,0
R_UQJqj9sPbudXx9T,High School,English,75-84,"$25,000 to $49,999",26000,Female,Ontario,Good/Very Good,Yes,Yes,Widowed,No residence,1,0,98,0,18,100,80
R_2dnACoohrLDqrzv,Bachelor,English,45-54,"$50,000 to $74,999",72000,Female,Ontario,Don't Know,Yes,No,Divorced,Own a residence,0,76,13,71,25,87,24
R_2zj8cBR2SvfK75w,Postgrad,Neither English nor French,55-64,"$50,000 to $74,999",57000,Female,Ontario,Good/Very Good,Yes,No,Married,Own a residence,0,85,0,78,11,3,20
R_3ps9UcX2gPxUbV2,High School,English,45-54,"$50,000 to $74,999",69000,Male,Ontario,Don't Know,Yes,Yes,Married,Own a residence,0,72,66,48,15,62,42
R_2ZVSp83mLt9VDkt,Bachelor,English,35-44,"$25,000 to $49,999",30000,Female,Ontario,Poor/Fair,Yes,Yes,Married,No residence,4,10,0,10,0,10,0
R_BEfD4454WKolhHr,High School,English,45-54,"Less than $25,000",21000,Female,Quebec,Good/Very Good,Yes,Yes,Never Married,No residence,4,86,8,67,21,100,2
R_7WB5qmdKcIdqN0t,Bachelor,English_and_French,25-34,"$50,000 to $74,999",57000,Male,Maintoba,Good/Very Good,Yes,Yes,Never Married,No residence,1,71,90,8,0,10,35
R_1DBTwecLjDCyqn9,Postgrad,English,45-54,"$125,000 and more",250000,Male,Ontario,Good/Very Good,Yes,No,Married,Own a residence,1,15.333333333333334,79,17.666666666666668,10.333333333333334,44.666666666666664,16
R_20NewS6kMoO6KaY,Bachelor,English,45-54,"$100,000 to $ 124,999",100000,Female,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,0,70,40,60,51,54,54
R_3ETsEvkWbN7wiMl,Postgrad,English_and_French,25-34,"$75,000 to $99,999",90200,Male,Ontario,Good/Very Good,Yes,Yes,Never Married,No residence,4,8,4,35,10,85,15
R_2B4gPDT9cpf2GJe,High School,English,15-24,"$25,000 to $49,999",40000,Female,Ontario,Poor/Fair,Yes,Yes,Never Married,No residence,0,79,36,19,32,32,38
R_yvSc9MoNDhphtYZ,Postgrad,English,35-44,"$75,000 to $99,999",95000,Male,Ontario,Good/Very Good,Yes,Yes,Living with a partner,No residence,1,60,59,15,16,38,17
R_1eXmX6vR2el5Hai,Bachelor,English,35-44,"$100,000 to $ 124,999",108000,Male,Ontario,Poor/Fair,Yes,Yes,Married,Own a residence,2,42,42,44,42,62,45
R_6RPAvNtx48HTmY9,High School,English,25-34,"$50,000 to $74,999",59000,Female,British Columbia,Poor/Fair,Yes,Yes,Living with a partner,Own a residence,2,31,15,87,0,72,0
R_3p4uqmGQurFFBAE,Bachelor,English,45-54,"$75,000 to $99,999",81000,Male,Ontario,Good/Very Good,Yes,Yes,Married,No residence,2,75,0,71,52,70,0
R_emQjGcjkI3Vsvn3,College/Trade,English,55-64,"Less than $25,000",7999,Male,Ontario,Poor/Fair,Yes,Yes,Married,Own a residence,2,51,28,83,0,84,0
R_2TnMZ06hKmbTdvf,College/Trade,English,25-34,"$50,000 to $74,999",70000,Male,Alberta,Good/Very Good,Yes,Yes,Never Married,Own a residence,0,90,90,50,50,50,50
R_33wpupd53eDyQgz,College/Trade,English,75-84,"$50,000 to $74,999",55000,Female,Newfoundland and Labrador,Poor/Fair,Yes,Yes,Married,Own a residence,1,50,40,10,13,0,11
R_2Cjt5ZeTBXIVLJj,College/Trade,Neither English nor French,45-54,"$50,000 to $74,999",62000,Female,Ontario,Excellent,Yes,Yes,Never Married,Own a residence,0,100,0,51,0,0,0
R_2UXzqUZTVPIXXn5,Bachelor,English,25-34,"$50,000 to $74,999",60000,Female,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,0,72,43,12,0,0,0
R_eyb9obwN1lstOM1,Bachelor,English,65-74,"$100,000 to $ 124,999",120000,Male,Nova Scoita,Good/Very Good,Yes,Yes,Married,Own a residence,2,70,0,70,0,70,0
R_vC7NkRvDpFpvyHT,College/Trade,English,75-84,"$75,000 to $99,999",80000,Male,Ontario,Poor/Fair,Yes,Yes,Married,Own a residence,0,72,5,47,1,49,0
R_21vttM9TvtxfO3X,College/Trade,English,65-74,"$25,000 to $49,999",32000,Female,Newfoundland and Labrador,Good/Very Good,Yes,Yes,Divorced,No residence,0,64,100,64,64,53,54
R_3MrFA2ktLdEK4n6,High School,English,55-64,"$25,000 to $49,999",33000,Male,Ontario,Poor/Fair,Yes,Yes,Married,Own a residence,1,57,90,46,8,45,31
R_2uDpsbpoPfeNUWa,Postgrad,English,25-34,"$100,000 to $ 124,999",123000,Male,Ontario,Good/Very Good,Yes,No,Married,Own a residence,0,71,73,64,66,54,61
R_2wpo81Ft0dmlUBI,High School,English,35-44,"$50,000 to $74,999",72000,Male,Ontario,Good/Very Good,Yes,Yes,Living with a partner,Own a residence,1,0,81,20,0,0,0
R_2t2Ol2Kq6x1HaVo,College/Trade,Neither English nor French,65-74,"$50,000 to $74,999",60000,Male,Ontario,Good/Very Good,Yes,No,Married,Own a residence,0,100,10,80,0,75,0
R_25GXomDNmOeQ5mW,Bachelor,English,55-64,"$25,000 to $49,999",38000,Female,Ontario,Poor/Fair,Yes,Yes,Divorced,No residence,0,75,0,30,10,50,0
R_3O2NkCoDKRXE4nM,Bachelor,English,55-64,"$25,000 to $49,999",45000,Female,Ontario,Good/Very Good,Yes,Yes,Separated,Own a residence,1,9,70,51,0,3,0
R_2Bafrkjzm5RHJFQ,Bachelor,English,75-84,"$25,000 to $49,999",44000,Female,Nova Scoita,Good/Very Good,Yes,Yes,Married,Own a residence,0,100,0,66,0,86,0
R_cOzrsO0DABrlEfT,College/Trade,English_and_French,45-54,"$100,000 to $ 124,999",100000,Female,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,4,70,3,73,2,63,21
R_3NyP1yCIHotebqi,Postgrad,Neither English nor French,45-54,"$125,000 and more",192000,Male,Quebec,Good/Very Good,Yes,Yes,Married,Own a residence,0,60,61,23,9,40,20
R_3PNNOq5vxPBJrLx,Postgrad,English,25-34,"$75,000 to $99,999",97000,Male,Ontario,Good/Very Good,Yes,Yes,Never Married,Own a residence,0,75,30,65,30,50,10
R_2CV4HS6VDU25hXT,Bachelor,English,55-64,"$75,000 to $99,999",88000,Female,Ontario,Good/Very Good,Yes,Yes,Separated,Own a residence,0,76,15,68,0,33,0
R_x3e4nxnzetpJezD,Bachelor,Neither English nor French,65-74,"$75,000 to $99,999",80000,Female,Ontario,Excellent,Yes,Yes,Widowed,Own a residence,1,0,74,70,21,66,70
R_1LNWcvIIvcy2TIV,Bachelor,English,35-44,"$50,000 to $74,999",69000,Female,Ontario,Good/Very Good,Yes,Yes,Never Married,Own a residence,0,77,18,54.5,21,63,21
R_28YvU5w7h09BNgN,Bachelor,English,55-64,"$100,000 to $ 124,999",123123,Male,Ontario,Excellent,Yes,Yes,Married,Own a residence,0,95,9,85,17,85,0
R_1gpbnuPz8DRxBpV,High School,English,55-64,"Less than $25,000",20000,Female,Ontario,Poor/Fair,Yes,Yes,Never Married,Own a residence,0,90,0,0,0,39,0
R_3MfLlx6Xb2KmanQ,Bachelor,English,65-74,"$25,000 to $49,999",32000,Female,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,4,51,34,15,1,93,1
R_6PyT5ZyMZkpTMt3,College/Trade,French,55-64,"$125,000 and more",740000,Female,Ontario,Good/Very Good,Yes,Yes,Living with a partner,Own a residence,2,6,7,16,8,90,14
R_aauwU5huKxcj2bD,Postgrad,English,65-74,"$75,000 to $99,999",85000,Female,Ontario,Good/Very Good,Yes,Yes,Widowed,Own a residence,0,42,64,50,2,66,32
R_3P7WgdG2bp44Li4,College/Trade,English,55-64,"$75,000 to $99,999",80000,Male,Ontario,Poor/Fair,Yes,Yes,Divorced,No residence,0,51,20,20,10,41,22
R_3JJIzj24DqgUzbw,Postgrad,English,65-74,"$100,000 to $ 124,999",101254,Male,Ontario,Poor/Fair,Yes,Yes,Married,Own a residence,2,50,0,51,0,0,0
R_3QGDUYyiEJbza5H,College/Trade,English,55-64,"$50,000 to $74,999",72000,Male,Ontario,Poor/Fair,Yes,Yes,Divorced,Own a residence,1,65,65,62,74,72,61
R_2TZbdOcBrX2ogZa,High School,English,45-54,"$50,000 to $74,999",62000,Female,Ontario,Poor/Fair,Yes,Yes,Separated,No residence,5,71,43,39,74,72,82
R_216AgN7aJ1DPJWj,Bachelor,English,75-84,"$50,000 to $74,999",59000,Male,Ontario,Excellent,Yes,Yes,Married,Own a residence,0,93,0,51,9,51,0
R_22qRqLzMSLJrpBA,Bachelor,English,55-64,"$75,000 to $99,999",80000,Male,Ontario,Poor/Fair,Yes,Yes,Divorced,No residence,1,37,63,39,38,40,37
R_2xWeCYlYGWFmY12,Bachelor,English,45-54,"$25,000 to $49,999",33000,Male,Ontario,Poor/Fair,Yes,No,Never Married,Own a residence,0,62,0,41,17,42,0
R_3MmoIf4WSNdQStj,Bachelor,English,35-44,"$100,000 to $ 124,999",114000,Male,Ontario,Poor/Fair,Yes,Yes,Married,Own a residence,1,25,60,0,0,10,0
R_p3Gd618o5Fvw1KF,High School,English,55-64,"$50,000 to $74,999",63000,Female,Ontario,Good/Very Good,Yes,No,Married,Own a residence,1,9,91,69,8,51,9
R_2wuHFkzIIUtyTrO,Bachelor,English_and_French,55-64,"$125,000 and more",150000,Male,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,1,20.75,82.75,36,0,35.5,7.25
