education,language,age_category,income_category,income_number,gender,province,health,citizenship,born_in_canada,marital_status,owns_house,vote_choice
No degree/diploma,Neither English nor French,15-24,"Less than $25,000",10000,Female,Ontario,Poor/Fair,No,No,Never Married,No residence,1
High School,English,15-24,"Less than $25,000",-4891583524818909e28,Male,Ontario,Poor/Fair,Yes,Yes,Never Married,Own a residence,1
Bachelor,English,15-24,"Less than $25,000",-4880574709684283e28,Male,Ontario,Poor/Fair,Yes,No,Never Married,Own a residence,1
No degree/diploma,Neither English nor French,15-24,"Less than $25,000",-4792689302214878e28,Female,Ontario,Poor/Fair,Yes,Yes,Never Married,Own a residence,1
High School,English_and_French,15-24,"Less than $25,000",10000,Male,Ontario,Poor/Fair,Yes,Yes,Never Married,No residence,2
Bachelor,English_and_French,15-24,"$25,000 to $49,999",40000,Female,Ontario,Poor/Fair,Yes,Yes,Living with a partner,No residence,1
Bachelor,English,15-24,"$25,000 to $49,999",30000,Female,Ontario,Good/Very Good,Yes,Yes,Never Married,No residence,5
No degree/diploma,English,15-24,"Less than $25,000",-4775571738029287e28,Male,Ontario,Poor/Fair,Yes,Yes,Never Married,No residence,1
Bachelor,English_and_French,15-24,"Less than $25,000",3435670899566671e40,Female,Ontario,Good/Very Good,Yes,Yes,Never Married,No residence,1
High School,Neither English nor French,15-24,"Less than $25,000",-42494679761801625e27,Female,Ontario,Poor/Fair,No,No,Never Married,No residence,1
Bachelor,English_and_French,15-24,"$125,000 and more",871717956023597e45,Male,Ontario,Excellent,Yes,Yes,Don't know/Prefer not to answer,No residence,1
High School,English,15-24,"Less than $25,000",-4878745351679716e28,Male,Ontario,Poor/Fair,Yes,Yes,Never Married,Own a residence,2
Bachelor,English,15-24,"Less than $25,000",-5070435936872554e28,Female,Ontario,Good/Very Good,Yes,Yes,Never Married,Own a residence,3
Bachelor,English_and_French,15-24,"$50,000 to $74,999",65000,Female,Ontario,Good/Very Good,Yes,Yes,Never Married,No residence,3
Bachelor,English,15-24,"Less than $25,000",-4958714430165071e28,Female,Ontario,Poor/Fair,Yes,Yes,Never Married,Own a residence,1
High School,English,15-24,"$50,000 to $74,999",70000,Female,Ontario,Poor/Fair,Yes,Yes,Never Married,Own a residence,2
Bachelor,English,15-24,"Less than $25,000",-4865101389895654e28,Male,Ontario,Good/Very Good,Yes,Yes,Never Married,No residence,1
High School,English,15-24,"Less than $25,000",-4832739175672005e28,Female,Ontario,Poor/Fair,Yes,Yes,Never Married,No residence,1
Bachelor,English_and_French,15-24,"Less than $25,000",-4.2453410316341453e+43,Female,Ontario,Good/Very Good,Yes,No,Never Married,Own a residence,1
No degree/diploma,English,15-24,"Less than $25,000",-495159300079015e29,Female,Ontario,Poor/Fair,Yes,Yes,Never Married,Own a residence,3
High School,English,15-24,"Less than $25,000",-4445459730490882e28,Female,Ontario,Don't Know,No,No,Living with a partner,No residence,3
Bachelor,English_and_French,15-24,"Less than $25,000",15000,Male,Ontario,Don't Know,Yes,Yes,Never Married,No residence,1
Bachelor,English,15-24,"Less than $25,000",-4587779427631895e28,Female,Ontario,Excellent,Yes,No,Never Married,No residence,3
Bachelor,English_and_French,15-24,"Less than $25,000",-4012457224231326e28,Male,Ontario,Poor/Fair,Yes,Yes,Never Married,No residence,5
Bachelor,English,15-24,"Less than $25,000",-5070435936872554e28,Female,Ontario,Good/Very Good,Yes,Yes,Never Married,Own a residence,3
High School,English,15-24,"Less than $25,000",-4891583524818909e28,Male,Ontario,Poor/Fair,Yes,Yes,Never Married,Own a residence,1
High School,English_and_French,15-24,"Less than $25,000",-42521140118653395e27,Female,Ontario,Good/Very Good,Yes,Yes,Never Married,Own a residence,3
Bachelor,English,15-24,"Less than $25,000",-4769756992943342e28,Female,Ontario,Good/Very Good,Yes,Yes,Never Married,No residence,5
Bachelor,English_and_French,15-24,"$25,000 to $49,999",27000,Female,Ontario,Don't Know,Yes,Yes,Never Married,No residence,1
Bachelor,English,15-24,"Less than $25,000",-4958714430165071e28,Female,Ontario,Poor/Fair,Yes,Yes,Never Married,Own a residence,1
Bachelor,English,15-24,"Less than $25,000",-4865101389895654e28,Male,Ontario,Good/Very Good,Yes,Yes,Never Married,No residence,1
Bachelor,English,15-24,"Less than $25,000",-4972608839771187e28,Female,Ontario,Good/Very Good,Yes,Yes,Never Married,No residence,3
Bachelor,English_and_French,15-24,"Less than $25,000",3435670899566429e40,Female,Ontario,Good/Very Good,Yes,Yes,Never Married,Own a residence,1
Bachelor,English,15-24,"$50,000 to $74,999",68000,Male,Ontario,Poor/Fair,Yes,Yes,Never Married,Own a residence,3
Bachelor,English,15-24,"Less than $25,000",-5025213771438229e28,Female,Ontario,Good/Very Good,Yes,Yes,Living with a partner,Own a residence,3
High School,English,15-24,"Less than $25,000",-4891583524818909e28,Male,Ontario,Poor/Fair,Yes,Yes,Never Married,Own a residence,1
Bachelor,Neither English nor French,15-24,"Less than $25,000",-4673018799416122e28,Female,Ontario,Poor/Fair,Yes,No,Never Married,No residence,1
Bachelor,English_and_French,15-24,"Less than $25,000",-4294221913077604e28,Female,Ontario,Good/Very Good,Yes,Yes,Never Married,Own a residence,3
No degree/diploma,Neither English nor French,15-24,"Less than $25,000",-4736697880432239e28,Female,Ontario,Poor/Fair,Yes,Yes,Never Married,No residence,3
High School,English,15-24,"$25,000 to $49,999",25000,Female,Ontario,Poor/Fair,Yes,Yes,Never Married,Own a residence,3
High School,English_and_French,15-24,"$125,000 and more",600000,Female,Ontario,Excellent,Yes,Yes,Never Married,Own a residence,1
High School,English,15-24,"Less than $25,000",11000,Female,Ontario,Poor/Fair,Yes,Yes,Never Married,Own a residence,1
Bachelor,English,15-24,"Less than $25,000",-44161573353105856e27,Female,Ontario,Excellent,Yes,Don't know/Prefer not to say,Never Married,Own a residence,2
Bachelor,English,15-24,"Less than $25,000",-4310152572367375e28,Female,Ontario,Excellent,No,No,Never Married,Own a residence,3
Bachelor,English,15-24,"Less than $25,000",-4808445736932785e28,Female,Ontario,Good/Very Good,Yes,No,Never Married,No residence,1
Bachelor,English,15-24,"Less than $25,000",-4948043175138431e28,Female,Ontario,Poor/Fair,Yes,Yes,Never Married,Own a residence,2
High School,English,15-24,"$100,000 to $ 124,999",120000,Male,Ontario,Good/Very Good,Yes,Yes,Don't know/Prefer not to answer,Own a residence,3
College/Trade,French,55-64,"Less than $25,000",20000,Female,Quebec,Poor/Fair,Yes,Yes,Never Married,No residence,1
Bachelor,English,65-74,"Less than $25,000",-5156415763087201e28,Female,Ontario,Poor/Fair,Yes,Yes,Separated,Own a residence,3
Postgrad,English,25-34,"Less than $25,000",-4812126231013402e28,Female,Ontario,Good/Very Good,Yes,Yes,Never Married,No residence,1
Bachelor,English,55-64,"$75,000 to $99,999",75000,Male,British Columbia,Excellent,Yes,Yes,Married,Own a residence,2
College/Trade,English,55-64,"$125,000 and more",200000,Female,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,1
Postgrad,French,55-64,"$125,000 and more",210000,Male,Ontario,Excellent,Yes,Yes,Married,Own a residence,3
Bachelor,English_and_French,25-34,"$50,000 to $74,999",50000,Female,Ontario,Good/Very Good,Yes,No,Living with a partner,Own a residence,1
College/Trade,English,55-64,"Less than $25,000",14000,Female,Ontario,Don't Know,Yes,Yes,Divorced,Own a residence,5
Bachelor,English,65-74,"$125,000 and more",150000,Male,Alberta,Good/Very Good,Yes,Yes,Married,No residence,2
High School,English,55-64,"Less than $25,000",-5174328226881919e28,Female,Saskatchewan,Poor/Fair,Yes,Yes,Married,Own a residence,2
Bachelor,French,35-44,"Less than $25,000",-4874563961954991e28,Male,Quebec,Good/Very Good,Yes,Yes,Never Married,No residence,2
Bachelor,English,65-74,"$50,000 to $74,999",65000,Male,British Columbia,Good/Very Good,Yes,No,Married,Own a residence,1
College/Trade,French,35-44,"$125,000 and more",150000,Male,Quebec,Good/Very Good,Yes,Yes,Living with a partner,Own a residence,5
Bachelor,English,55-64,"$75,000 to $99,999",75000,Male,Ontario,Good/Very Good,Yes,Yes,Never Married,Own a residence,2
Bachelor,English,35-44,"$50,000 to $74,999",60000,Male,Alberta,Good/Very Good,Yes,Yes,Married,Own a residence,3
Bachelor,English,25-34,"$100,000 to $ 124,999",100000,Male,Ontario,Excellent,Yes,No,Living with a partner,Own a residence,1
Bachelor,English,55-64,"Less than $25,000",-4818245869100108e28,Male,Ontario,Excellent,Yes,Yes,Married,Own a residence,1
College/Trade,English,25-34,"Less than $25,000",-4803730784456728e28,Male,Ontario,Poor/Fair,Yes,Yes,Married,No residence,1
Bachelor,English,65-74,"Less than $25,000",-5192491138498692e28,Female,British Columbia,Good/Very Good,Yes,No,Married,Own a residence,1
Postgrad,French,65-74,"$50,000 to $74,999",65000,Male,Quebec,Good/Very Good,Yes,Yes,Married,Own a residence,4
High School,English,35-44,"Less than $25,000",22000,Male,Ontario,Poor/Fair,Yes,Yes,Living with a partner,No residence,2
Bachelor,English,45-54,"$50,000 to $74,999",65000,Male,Ontario,Poor/Fair,Yes,Yes,Never Married,Own a residence,2
Bachelor,English,65-74,"$50,000 to $74,999",55000,Female,Ontario,Excellent,Yes,Yes,Widowed,No residence,3
College/Trade,English,55-64,"Less than $25,000",-5224711795257702e28,Female,Alberta,Good/Very Good,Yes,Yes,Married,Own a residence,2
Bachelor,Neither English nor French,25-34,"$50,000 to $74,999",64000,Male,Ontario,Poor/Fair,Yes,No,Never Married,Own a residence,1
High School,French,55-64,"$100,000 to $ 124,999",100000,Male,Quebec,Good/Very Good,Yes,Yes,Living with a partner,Own a residence,2
Bachelor,English,55-64,"Less than $25,000",20000,Female,British Columbia,Good/Very Good,Yes,Yes,Divorced,No residence,5
College/Trade,French,25-34,"$100,000 to $ 124,999",118000,Female,Quebec,Good/Very Good,Yes,Yes,Married,Own a residence,3
College/Trade,English,65-74,"Less than $25,000",20000,Female,Ontario,Poor/Fair,Yes,Yes,Never Married,No residence,1
College/Trade,English,45-54,"$75,000 to $99,999",75000,Female,Alberta,Poor/Fair,Yes,Yes,Never Married,Own a residence,2
Bachelor,Neither English nor French,55-64,"Less than $25,000",-4926504662441803e28,Female,Maintoba,Good/Very Good,Yes,Yes,Living with a partner,Own a residence,1
Bachelor,Neither English nor French,65-74,"$25,000 to $49,999",45000,Female,Ontario,Poor/Fair,Yes,No,Widowed,Own a residence,3
College/Trade,English,55-64,"$75,000 to $99,999",90000,Female,Newfoundland and Labrador,Excellent,Yes,Yes,Married,Own a residence,2
Postgrad,English,45-54,"Less than $25,000",-3955627346696594e28,Male,Alberta,Excellent,Yes,Yes,Never Married,No residence,1
College/Trade,English,65-74,"Less than $25,000",-4781168702400403e28,Male,Saskatchewan,Excellent,Yes,Yes,Married,Own a residence,1
College/Trade,French,75-84,"Less than $25,000",17500,Female,Quebec,Poor/Fair,Yes,Yes,Never Married,No residence,1
Bachelor,Neither English nor French,55-64,"$25,000 to $49,999",36500,Male,Quebec,Good/Very Good,Yes,Yes,Married,Own a residence,2
Bachelor,English,55-64,"$125,000 and more",130000,Male,Saskatchewan,Excellent,Yes,Yes,Widowed,Own a residence,2
High School,French,45-54,"Less than $25,000",16000,Male,Quebec,Don't Know,No,Yes,Never Married,No residence,1
Bachelor,English_and_French,45-54,"$25,000 to $49,999",29000,Female,Ontario,Poor/Fair,Yes,Yes,Never Married,Own a residence,2
Postgrad,English,35-44,"Less than $25,000",-5103527716490882e28,Female,Ontario,Poor/Fair,Yes,Yes,Married,Own a residence,2
No degree/diploma,French,25-34,"Less than $25,000",20000,Male,Quebec,Poor/Fair,Yes,No,Never Married,No residence,4
College/Trade,English,55-64,"$50,000 to $74,999",74000,Male,Prince Edward Island,Poor/Fair,Yes,Yes,Married,Own a residence,5
College/Trade,English,65-74,"$75,000 to $99,999",91000,Male,British Columbia,Good/Very Good,Yes,No,Married,Own a residence,2
Bachelor,English,65-74,"$100,000 to $ 124,999",103000,Male,Alberta,Poor/Fair,Yes,Yes,Never Married,Own a residence,2
Postgrad,English_and_French,55-64,"$100,000 to $ 124,999",100000,Male,Quebec,Poor/Fair,Yes,Yes,Married,Own a residence,2
Bachelor,English,25-34,"$100,000 to $ 124,999",101000,Male,Ontario,Excellent,Yes,No,Living with a partner,Own a residence,1
Bachelor,English_and_French,45-54,"$100,000 to $ 124,999",123000,Male,Ontario,Good/Very Good,Yes,Yes,Living with a partner,Own a residence,2
Bachelor,English,55-64,"$25,000 to $49,999",49000,Male,Ontario,Good/Very Good,Yes,Yes,Married,No residence,1
Bachelor,English,55-64,"$25,000 to $49,999",29000,Male,Alberta,Excellent,Yes,Yes,Widowed,Own a residence,2
Bachelor,French,25-34,"$50,000 to $74,999",56000,Female,Quebec,Poor/Fair,Yes,Yes,Living with a partner,No residence,2
Bachelor,English,65-74,"Less than $25,000",-5301762612164343e28,Male,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,2
No degree/diploma,English,65-74,"$75,000 to $99,999",75000,Female,Ontario,Excellent,Yes,Yes,Married,Own a residence,2
College/Trade,French,45-54,"$50,000 to $74,999",63500,Female,Quebec,Poor/Fair,Yes,Yes,Never Married,Own a residence,1
High School,English,55-64,"$25,000 to $49,999",49000,Female,Ontario,Don't Know,Yes,Yes,Married,Own a residence,2
Postgrad,English,45-54,"Less than $25,000",-4536916741683488e28,Male,Nova Scoita,Good/Very Good,Yes,Yes,Never Married,Own a residence,2
Bachelor,English,45-54,"$50,000 to $74,999",55000,Female,Ontario,Good/Very Good,Yes,Yes,Divorced,Own a residence,1
High School,French,55-64,"$25,000 to $49,999",29000,Female,Quebec,Excellent,Yes,Yes,Married,Own a residence,5
No degree/diploma,English,55-64,"$50,000 to $74,999",54000,Female,Ontario,Good/Very Good,Yes,Yes,Divorced,Own a residence,5
College/Trade,English,35-44,"$25,000 to $49,999",25000,Female,Maintoba,Excellent,Yes,Yes,Married,No residence,1
Postgrad,French,45-54,"$75,000 to $99,999",83000,Male,Quebec,Good/Very Good,Yes,Yes,Never Married,Own a residence,4
Bachelor,English,25-34,"$125,000 and more",165000,Female,Alberta,Good/Very Good,Yes,Yes,Never Married,Own a residence,2
College/Trade,English,65-74,"$125,000 and more",125000,Female,British Columbia,Good/Very Good,Yes,Yes,Married,Own a residence,2
College/Trade,English_and_French,45-54,"$25,000 to $49,999",48000,Female,Quebec,Don't Know,Yes,Yes,Married,No residence,1
Postgrad,English_and_French,65-74,"$75,000 to $99,999",94000,Male,British Columbia,Good/Very Good,Yes,Yes,Married,Own a residence,1
Bachelor,English,65-74,"$25,000 to $49,999",32000,Male,Nova Scoita,Poor/Fair,Yes,Yes,Married,Own a residence,1
High School,French,65-74,"$50,000 to $74,999",60000,Female,Quebec,Poor/Fair,Yes,Yes,Living with a partner,No residence,1
Bachelor,French,25-34,"$75,000 to $99,999",84000,Female,Quebec,Excellent,Yes,Yes,Living with a partner,Own a residence,1
College/Trade,English,35-44,"Less than $25,000",-501589275684353e29,Female,Maintoba,Good/Very Good,Yes,Yes,Married,Own a residence,5
College/Trade,English_and_French,65-74,"$25,000 to $49,999",42000,Male,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,5
College/Trade,English_and_French,35-44,"$25,000 to $49,999",38799,Female,Ontario,Poor/Fair,Yes,Yes,Married,No residence,3
Bachelor,English_and_French,25-34,"$25,000 to $49,999",49000,Male,New Brunswick,Excellent,Yes,No,Living with a partner,No residence,1
Bachelor,Neither English nor French,55-64,"Less than $25,000",-4568821616405996e28,Male,Alberta,Excellent,Yes,No,Married,Own a residence,2
Bachelor,English,25-34,"$100,000 to $ 124,999",120000,Female,Ontario,Poor/Fair,Yes,Yes,Married,Own a residence,2
High School,French,65-74,"Less than $25,000",20000,Female,Quebec,Excellent,Yes,Yes,Widowed,No residence,1
Postgrad,English,35-44,"$75,000 to $99,999",90000,Female,Alberta,Poor/Fair,No,No,Married,Own a residence,2
College/Trade,English,45-54,"$25,000 to $49,999",45000,Male,Ontario,Excellent,Yes,Yes,Never Married,No residence,5
Bachelor,Neither English nor French,35-44,"Less than $25,000",-4998775192657939e28,Female,Ontario,Good/Very Good,Yes,No,Married,Own a residence,2
Bachelor,English,55-64,"$25,000 to $49,999",39000,Male,Alberta,Poor/Fair,Yes,Yes,Never Married,No residence,1
Bachelor,English,65-74,"$50,000 to $74,999",73000,Male,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,1
College/Trade,English,45-54,"$50,000 to $74,999",65000,Male,Maintoba,Good/Very Good,Yes,Yes,Married,Own a residence,2
Postgrad,English,35-44,"$125,000 and more",230000,Male,Maintoba,Good/Very Good,Yes,Yes,Married,Own a residence,1
High School,English,55-64,"Less than $25,000",-5228348733195352e28,Female,Maintoba,Good/Very Good,Yes,Yes,Married,Own a residence,2
Postgrad,English,45-54,"$125,000 and more",190000,Female,British Columbia,Good/Very Good,Yes,Yes,Married,Own a residence,1
College/Trade,French,55-64,"Less than $25,000",24100,Male,Quebec,Poor/Fair,Yes,Yes,Divorced,No residence,2
College/Trade,English,55-64,"$75,000 to $99,999",75000,Male,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,2
Bachelor,English,65-74,"Less than $25,000",-4933800316388588e28,Male,Ontario,Excellent,Yes,No,Married,Own a residence,2
Bachelor,English,45-54,"$75,000 to $99,999",81000,Male,Ontario,Poor/Fair,Yes,Yes,Married,Own a residence,2
High School,English,65-74,"$50,000 to $74,999",61000,Male,Ontario,Poor/Fair,Yes,Yes,Married,No residence,3
College/Trade,French,55-64,"Less than $25,000",24000,Female,Quebec,Poor/Fair,Yes,Yes,Living with a partner,No residence,2
Postgrad,English_and_French,55-64,"$125,000 and more",280000,Female,Quebec,Excellent,Yes,Yes,Living with a partner,No residence,1
Postgrad,English,75-84,"$75,000 to $99,999",95000,Male,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,2
Postgrad,English,55-64,"$100,000 to $ 124,999",105000,Male,Ontario,Good/Very Good,Yes,No,Never Married,No residence,3
Bachelor,Neither English nor French,55-64,"$75,000 to $99,999",76000,Male,Ontario,Good/Very Good,Yes,No,Married,Own a residence,2
College/Trade,English,65-74,"$100,000 to $ 124,999",110000,Male,Ontario,Good/Very Good,Yes,No,Married,Own a residence,2
College/Trade,French,65-74,"$25,000 to $49,999",49000,Female,Quebec,Excellent,Yes,Yes,Married,Own a residence,2
Bachelor,English_and_French,85+,"Less than $25,000",-39303974508836076e27,Female,Ontario,Good/Very Good,Yes,Yes,Never Married,Own a residence,5
No degree/diploma,English,75-84,"Less than $25,000",-5099509662302279e28,Male,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,2
Postgrad,Neither English nor French,25-34,"Less than $25,000",-4581779568938345e28,Female,Ontario,Good/Very Good,Yes,No,Married,No residence,1
Bachelor,English,35-44,"$75,000 to $99,999",78500,Male,Ontario,Poor/Fair,Yes,Yes,Married,Own a residence,2
College/Trade,English,45-54,"$125,000 and more",149500,Male,Nova Scoita,Excellent,Yes,Yes,Separated,Own a residence,5
Bachelor,English,45-54,"$50,000 to $74,999",55000,Female,Ontario,Good/Very Good,Yes,No,Never Married,No residence,1
Bachelor,English,75-84,"$25,000 to $49,999",42000,Male,Ontario,Poor/Fair,Yes,Yes,Married,Own a residence,2
High School,English,65-74,"Less than $25,000",-5324161358684547e28,Male,Ontario,Poor/Fair,Yes,Yes,Married,Own a residence,3
Bachelor,English,65-74,"$125,000 and more",160000,Male,Ontario,Good/Very Good,Yes,No,Married,Own a residence,1
Bachelor,English,45-54,"$75,000 to $99,999",95000,Female,Ontario,Good/Very Good,Yes,Yes,Divorced,Own a residence,1
High School,English_and_French,55-64,"Less than $25,000",34356708995666245e39,Male,Ontario,Good/Very Good,Yes,Yes,Separated,No residence,1
High School,English_and_French,65-74,"$75,000 to $99,999",79000,Male,Ontario,Poor/Fair,Yes,Yes,Married,Own a residence,3
College/Trade,English,75-84,"$125,000 and more",250000,Male,Ontario,Excellent,Yes,Yes,Living with a partner,Own a residence,2
Bachelor,English,25-34,"$50,000 to $74,999",52000,Male,Ontario,Excellent,Yes,Yes,Living with a partner,Own a residence,1
Bachelor,English,35-44,"$50,000 to $74,999",55000,Male,Ontario,Good/Very Good,Yes,Yes,Never Married,Own a residence,1
High School,English,55-64,"$75,000 to $99,999",80000,Female,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,1
Bachelor,English,55-64,"$50,000 to $74,999",65000,Female,Ontario,Good/Very Good,Yes,No,Married,Own a residence,2
Bachelor,English_and_French,45-54,"$25,000 to $49,999",49000,Female,Ontario,Don't Know,Yes,Yes,Married,Own a residence,5
Bachelor,French,55-64,"$50,000 to $74,999",50000,Male,Quebec,Excellent,Yes,Yes,Married,Own a residence,1
High School,English,15-24,"$25,000 to $49,999",35600,Female,Ontario,Good/Very Good,Yes,Yes,Never Married,No residence,1
Bachelor,English_and_French,25-34,"$50,000 to $74,999",54000,Female,Ontario,Good/Very Good,Yes,Yes,Never Married,Own a residence,1
College/Trade,French,55-64,"$50,000 to $74,999",63000,Male,Quebec,Good/Very Good,Yes,Yes,Married,Own a residence,2
Bachelor,French,55-64,"$100,000 to $ 124,999",124000,Male,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,2
Bachelor,English,55-64,"$25,000 to $49,999",27000,Male,New Brunswick,Excellent,Yes,Yes,Never Married,No residence,5
College/Trade,French,65-74,"$25,000 to $49,999",39000,Female,Quebec,Excellent,Yes,Yes,Married,Own a residence,4
College/Trade,English,65-74,"$25,000 to $49,999",41000,Male,Ontario,Poor/Fair,Yes,Yes,Living with a partner,Own a residence,1
College/Trade,English,55-64,"$75,000 to $99,999",98000,Female,Ontario,Poor/Fair,Yes,No,Never Married,Own a residence,1
Bachelor,English,35-44,"Less than $25,000",-5309254268754474e28,Male,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,3
College/Trade,English,55-64,"$50,000 to $74,999",59000,Male,Nova Scoita,Good/Very Good,Yes,Yes,Never Married,No residence,3
Bachelor,French,55-64,"$125,000 and more",190000,Male,Quebec,Good/Very Good,Yes,Yes,Living with a partner,Own a residence,2
College/Trade,English_and_French,65-74,"$50,000 to $74,999",70000,Male,Ontario,Poor/Fair,Yes,Yes,Married,Own a residence,1
College/Trade,English,35-44,"Less than $25,000",-5162524512138166e28,Male,Ontario,Poor/Fair,Yes,Yes,Married,Own a residence,3
High School,English,55-64,"Less than $25,000",-50291447133409e30,Male,Ontario,Good/Very Good,Yes,Yes,Never Married,No residence,3
High School,English,35-44,"Less than $25,000",-43296548353803476e27,Female,Ontario,Don't Know,Yes,No,Never Married,No residence,5
Postgrad,English,65-74,"$25,000 to $49,999",34000,Male,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,2
No degree/diploma,French,35-44,"Less than $25,000",20000,Female,Quebec,Excellent,Yes,Yes,Married,Own a residence,1
High School,English,35-44,"$50,000 to $74,999",65000,Male,Ontario,Good/Very Good,Yes,Yes,Divorced,Own a residence,1
Bachelor,English,45-54,"$75,000 to $99,999",85900,Female,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,2
College/Trade,French,65-74,"Less than $25,000",-4621774997216765e28,Male,Quebec,Excellent,Yes,Yes,Living with a partner,Own a residence,4
Postgrad,English,75-84,"Less than $25,000",-5059699347631465e28,Male,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,1
Bachelor,English,35-44,"Less than $25,000",20000,Female,Saskatchewan,Poor/Fair,No,No,Married,No residence,2
College/Trade,English,55-64,"$75,000 to $99,999",90000,Male,Ontario,Good/Very Good,Yes,Yes,Living with a partner,Own a residence,5
Postgrad,English,65-74,"$25,000 to $49,999",36000,Female,Ontario,Poor/Fair,Yes,No,Never Married,No residence,3
Bachelor,English_and_French,35-44,"$125,000 and more",175000,Male,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,1
Bachelor,English_and_French,25-34,"$50,000 to $74,999",67000,Male,Alberta,Excellent,Yes,Yes,Never Married,Own a residence,2
College/Trade,English,75-84,"$50,000 to $74,999",74000,Female,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,2
Bachelor,French,55-64,"$125,000 and more",125000,Male,Quebec,Excellent,Yes,Yes,Married,Own a residence,4
Bachelor,English,55-64,"$125,000 and more",200000,Male,Ontario,Excellent,Yes,Yes,Married,Own a residence,1
Bachelor,English,55-64,"$125,000 and more",145000,Male,Ontario,Good/Very Good,Yes,Yes,Living with a partner,Own a residence,1
Bachelor,English,55-64,"Less than $25,000",16000,Male,Newfoundland and Labrador,Good/Very Good,Yes,Yes,Married,No residence,2
High School,French,15-24,"Less than $25,000",2,Female,Quebec,Poor/Fair,Yes,Yes,Never Married,No residence,5
