cps19_ResponseId,education,language,age_category,income_category,income_number,gender,province,health,citizenship,born_in_canada,marital_status,owns_house,vote_choice,liberal_favour,conservative_favour,ndp_favour,bloc_favour,green_favour,people_favour
R_2OTgYli09bN6AmM,College/Trade,English,55-64,"$50,000 to $74,999",74000,Male,Prince Edward Island,Poor/Fair,Yes,Yes,Married,Own a residence,4,47.75,40.25,40,4,62,8
R_ULc9oL7y5NgHCcp,College/Trade,English,65-74,"$75,000 to $99,999",91000,Male,British Columbia,Good/Very Good,Yes,No,Married,Own a residence,1,44.72727272727273,54.90909090909091,47,14.363636363636363,35.36363636363637,18.727272727272727
R_1OAyGB8Ym0kT3lK,Bachelor,English,65-74,"$100,000 to $ 124,999",103000,Male,Alberta,Poor/Fair,Yes,Yes,Never Married,Own a residence,1,34,71,43,0,9,30
R_28BecXIsc25YU9X,Postgrad,English_and_French,55-64,"$100,000 to $ 124,999",100000,Male,Quebec,Poor/Fair,Yes,Yes,Married,Own a residence,1,49,47.333333333333336,54,25.666666666666668,65.66666666666667,17.666666666666668
R_1P0HXM6DJsVn3C0,Bachelor,English,25-34,"$100,000 to $ 124,999",101000,Male,Ontario,Excellent,Yes,No,Living with a partner,Own a residence,0,70.25,35.5,65.25,23.5,57.75,30
R_3njfkeEp00ONu0q,Bachelor,English_and_French,45-54,"$100,000 to $ 124,999",123000,Male,Ontario,Good/Very Good,Yes,Yes,Living with a partner,Own a residence,1,7,64,19.5,18.5,7.5,30.5
R_RKRD4qmRNrhwtTH,Bachelor,English,55-64,"$25,000 to $49,999",29000,Male,Alberta,Excellent,Yes,Yes,Widowed,Own a residence,1,42,76.5,65,14.5,55.5,16
R_1dNBFv9hzoeljP0,No degree/diploma,English,65-74,"$75,000 to $99,999",75000,Female,Ontario,Excellent,Yes,Yes,Married,Own a residence,1,55.666666666666664,60.666666666666664,71,10.333333333333334,73,26.333333333333332
R_1JLpKxElyp4zPHy,Bachelor,English,45-54,"$50,000 to $74,999",55000,Female,Ontario,Good/Very Good,Yes,Yes,Divorced,Own a residence,0,46.4,28.2,52.4,15.2,49.6,36
R_VQivgI4nwrZlkUV,No degree/diploma,English,55-64,"$50,000 to $74,999",54000,Female,Ontario,Good/Very Good,Yes,Yes,Divorced,Own a residence,4,54,39,71,51,79,13
R_3VRygimwlRi957z,College/Trade,English,35-44,"$25,000 to $49,999",25000,Female,Maintoba,Excellent,Yes,Yes,Married,No residence,0,57,28.5,53.5,22.5,58,41.5
R_1d5dSqLrgTFez4Z,Bachelor,English,25-34,"$125,000 and more",165000,Female,Alberta,Good/Very Good,Yes,Yes,Never Married,Own a residence,1,31,93,18.5,19,1.5,37
R_1JOBEIwxAhEhPy0,College/Trade,English,65-74,"$125,000 and more",125000,Female,British Columbia,Good/Very Good,Yes,Yes,Married,Own a residence,1,48.75,57.75,46,7.25,50,25.5
R_2OSF3bRhkHSJ45Y,College/Trade,English_and_French,45-54,"$25,000 to $49,999",48000,Female,Quebec,Don't Know,Yes,Yes,Married,No residence,0,91,26,19,0,23,7
R_1E54V9G16zwxpHz,Postgrad,English_and_French,65-74,"$75,000 to $99,999",94000,Male,British Columbia,Good/Very Good,Yes,Yes,Married,Own a residence,0,90,10,80,0,77,0
R_2EnkttD9gjvMQmE,Bachelor,English,25-34,"$100,000 to $ 124,999",120000,Female,Ontario,Poor/Fair,Yes,Yes,Married,Own a residence,1,51,29.285714285714285,51.714285714285715,13.714285714285714,59.714285714285715,13.571428571428571
R_1DotsVzObkBRvfo,College/Trade,English,45-54,"$25,000 to $49,999",45000,Male,Ontario,Excellent,Yes,Yes,Never Married,No residence,4,43.285714285714285,32.714285714285715,64,13.142857142857142,65.42857142857143,17.571428571428573
R_2mJadSWBJNUNWAF,Bachelor,English,55-64,"$25,000 to $49,999",39000,Male,Alberta,Poor/Fair,Yes,Yes,Never Married,No residence,0,77.66666666666667,65.66666666666667,50.333333333333336,27.333333333333332,29,6
R_3egO3KLMdRlsiJz,Bachelor,English,65-74,"$50,000 to $74,999",73000,Male,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,0,63.5,38.5,54.388888888888886,13.5,54.44444444444444,7.833333333333333
R_YPSVZ17j0qL2jcd,Postgrad,English,45-54,"$125,000 and more",190000,Female,British Columbia,Good/Very Good,Yes,Yes,Married,Own a residence,0,57.666666666666664,54.666666666666664,54.333333333333336,24.333333333333332,38.5,39.166666666666664
R_2rAsYYwXrNFwUbu,College/Trade,English,55-64,"$75,000 to $99,999",75000,Male,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,1,43.857142857142854,61.07142857142857,37.714285714285715,9.357142857142858,36.857142857142854,15.285714285714286
R_3r0NEMt1q9yB2oj,Bachelor,English,45-54,"$75,000 to $99,999",81000,Male,Ontario,Poor/Fair,Yes,Yes,Married,Own a residence,1,40.55555555555556,53,34.55555555555556,13.166666666666666,36.5,18.166666666666668
R_2YArCky0wxjsLDz,Postgrad,English_and_French,55-64,"$125,000 and more",280000,Female,Quebec,Excellent,Yes,Yes,Living with a partner,No residence,0,70,0,9,10,91,0
R_1eqsvQYbC4GNu1X,Postgrad,English,75-84,"$75,000 to $99,999",95000,Male,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,1,41.142857142857146,53.142857142857146,42.714285714285715,3,50.714285714285715,23
R_2TF48XAO0EVuGOd,College/Trade,English,45-54,"$125,000 and more",149500,Male,Nova Scoita,Excellent,Yes,Yes,Separated,Own a residence,4,20,31,28,31,20,28
R_W2TYH2Hul9PD7BT,Bachelor,English,45-54,"$50,000 to $74,999",55000,Female,Ontario,Good/Very Good,Yes,No,Never Married,No residence,0,64.83333333333333,30.166666666666668,64,33,54.5,16.666666666666668
R_3jUM5oIRKSjOy5l,Bachelor,English,65-74,"$125,000 and more",160000,Male,Ontario,Good/Very Good,Yes,No,Married,Own a residence,0,58.69230769230769,47.46153846153846,46.30769230769231,12.23076923076923,51,13.153846153846153
R_2Pb6eqBCY7Yxlhm,Bachelor,English,45-54,"$75,000 to $99,999",95000,Female,Ontario,Good/Very Good,Yes,Yes,Divorced,Own a residence,0,71.33333333333333,53.333333333333336,34.666666666666664,15.333333333333334,40.666666666666664,13
R_2vkVOM1UlceC92T,High School,English_and_French,65-74,"$75,000 to $99,999",79000,Male,Ontario,Poor/Fair,Yes,Yes,Married,Own a residence,2,66.5,10.5,72.5,25.5,36,35.5
R_bfiFI3DeSxh6pMt,Bachelor,English,25-34,"$50,000 to $74,999",52000,Male,Ontario,Excellent,Yes,Yes,Living with a partner,Own a residence,0,50,37.714285714285715,61.857142857142854,17.142857142857142,46.57142857142857,25
R_3OkL9l7BcgQgdLD,High School,English,55-64,"$75,000 to $99,999",80000,Female,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,0,49.2,62.8,57.6,20.6,40.8,29.4
R_pEsAKhc10qqPUlz,Bachelor,English,55-64,"$50,000 to $74,999",65000,Female,Ontario,Good/Very Good,Yes,No,Married,Own a residence,1,41.57142857142857,45.5,40.714285714285715,16.357142857142858,41.5,16.714285714285715
R_1o4H1fubSe7FlNW,High School,English,15-24,"$25,000 to $49,999",35600,Female,Ontario,Good/Very Good,Yes,Yes,Never Married,No residence,0,69,56,45,48.666666666666664,56,43.333333333333336
R_1dzT4ZdNKmTUYHe,Bachelor,English_and_French,25-34,"$50,000 to $74,999",54000,Female,Ontario,Good/Very Good,Yes,Yes,Never Married,Own a residence,0,60.5,22.25,54.75,21.75,65.5,4.75
R_1lucHmscj47bIEb,Bachelor,French,55-64,"$100,000 to $ 124,999",124000,Male,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,1,0,80,0,15,0,60
R_1mWA5VJSMVBcpJ4,Bachelor,English,55-64,"$25,000 to $49,999",27000,Male,New Brunswick,Excellent,Yes,Yes,Never Married,No residence,4,88,68,85,24,99,32
R_qI0m78Q3aHVjydr,College/Trade,English,65-74,"$25,000 to $49,999",41000,Male,Ontario,Poor/Fair,Yes,Yes,Living with a partner,Own a residence,0,33.333333333333336,64.66666666666667,33.333333333333336,16.666666666666668,24,69.66666666666667
R_wOkztv6sfJLKiel,College/Trade,English,55-64,"$50,000 to $74,999",59000,Male,Nova Scoita,Good/Very Good,Yes,Yes,Never Married,No residence,2,0,0,100,0,9,0
R_30qv36aXWZuK9M6,College/Trade,English_and_French,65-74,"$50,000 to $74,999",70000,Male,Ontario,Poor/Fair,Yes,Yes,Married,Own a residence,0,37.666666666666664,47,34.333333333333336,3,63.666666666666664,18.666666666666668
R_1pRuOG0YodOvLGh,High School,English,35-44,"$50,000 to $74,999",65000,Male,Ontario,Good/Very Good,Yes,Yes,Divorced,Own a residence,0,76,43,60,39,62,31
R_3e9Xu4Bc6CkscZW,Bachelor,English,45-54,"$75,000 to $99,999",85900,Female,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,1,40.55555555555556,53,34.55555555555556,13.166666666666666,36.5,18.166666666666668
R_DqoBw7ZmMHWgHoB,Bachelor,English_and_French,35-44,"$125,000 and more",175000,Male,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,0,70.5,24.5,50.2,31.2,42.2,23.9
R_1dagV1XDUQPaxsb,College/Trade,English,75-84,"$50,000 to $74,999",74000,Female,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,1,59,41,53.75,14,43.25,29.75
R_6PQUIsQaUsOUJZ7,Bachelor,English,55-64,"$125,000 and more",200000,Male,Ontario,Excellent,Yes,Yes,Married,Own a residence,0,58.578947368421055,39.26315789473684,43.8421052631579,7.605263157894737,55.973684210526315,19.157894736842106
R_3r0cFwbcvyfP6kc,Bachelor,English,55-64,"Less than $25,000",16000,Male,Newfoundland and Labrador,Good/Very Good,Yes,Yes,Married,No residence,1,10,96,15,1,15,62
R_23dSuZrdSAvnvUV,Bachelor,English,65-74,"$75,000 to $99,999",85000,Male,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,0,67.5,40.72727272727273,44.90909090909091,6.590909090909091,51.95454545454545,5.2727272727272725
R_YWCbuTSQdmmcGKl,Postgrad,English,35-44,"$75,000 to $99,999",99000,Female,Ontario,Poor/Fair,Yes,No,Married,Own a residence,1,19,49,45.2,16.2,39.2,15.6
R_31HsUEjWfv8WU29,Postgrad,English,75-84,"$50,000 to $74,999",69000,Female,Ontario,Poor/Fair,Yes,Yes,Married,Own a residence,4,71.66666666666667,21,65.33333333333333,14,87,3
R_1dnUyqUZjOYJq6I,Bachelor,English,35-44,"$75,000 to $99,999",95000,Male,Ontario,Poor/Fair,Yes,Yes,Married,Own a residence,1,45.666666666666664,68.55555555555556,32.77777777777778,28.88888888888889,29.666666666666668,49.44444444444444
R_3prqB926VGiKpLQ,College/Trade,English,65-74,"Less than $25,000",20000,Male,Ontario,Poor/Fair,Yes,No,Separated,No residence,2,27.75,6.25,77.5,12.75,21.75,11.75
R_yKMtKdEEbsNubIJ,High School,English,35-44,"$50,000 to $74,999",50000,Male,Ontario,Good/Very Good,Yes,Yes,Never Married,No residence,2,40.666666666666664,46.666666666666664,55,3,43.333333333333336,41.333333333333336
R_3HOBUzh5RjbIJlo,College/Trade,English,35-44,"$25,000 to $49,999",30000,Male,Ontario,Don't Know,Yes,Yes,Never Married,No residence,4,41,50.714285714285715,74.14285714285714,24.714285714285715,74.42857142857143,33.714285714285715
R_3lspCSHxbzz3BSY,Postgrad,Neither English nor French,45-54,"$125,000 and more",125000,Male,Ontario,Poor/Fair,Yes,No,Married,Own a residence,0,36.2,52.6,43.8,16,31.8,13
R_2475Kwb2I2OgUSc,Bachelor,English,45-54,"$75,000 to $99,999",89000,Male,Ontario,Excellent,Yes,Yes,Married,Own a residence,1,40.55555555555556,53,34.55555555555556,13.166666666666666,36.5,18.166666666666668
R_2PcY3Plnzfpncpj,Postgrad,English,25-34,"$50,000 to $74,999",69000,Female,Ontario,Excellent,Yes,Yes,Married,Own a residence,0,81.5,95,19,17.5,23,29
R_3HNC232ig0O4zRn,High School,English,65-74,"$50,000 to $74,999",50000,Female,Ontario,Poor/Fair,Yes,Yes,Married,Own a residence,1,42.25,48,39,7.5,39.333333333333336,10.166666666666666
R_1dcTstX450VSSmc,Bachelor,English,65-74,"$50,000 to $74,999",74000,Male,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,0,63.5,38.5,54.388888888888886,13.5,54.44444444444444,7.833333333333333
R_Q6MdNP6ci3SeMDv,Bachelor,English_and_French,65-74,"$75,000 to $99,999",85000,Male,Ontario,Good/Very Good,Yes,Yes,Married,No residence,0,89.33333333333333,20,34.333333333333336,16.333333333333332,53.333333333333336,7.333333333333333
R_3DvZ2sBpbl11Vvw,High School,English,65-74,"Less than $25,000",20000,Female,Ontario,Good/Very Good,Yes,Yes,Widowed,No residence,1,30,86.5,0,0,43.5,0
R_SCbTtgzZs19jCqB,College/Trade,English,45-54,"$50,000 to $74,999",59000,Male,Ontario,Good/Very Good,Yes,Yes,Never Married,Own a residence,0,43,55.5,53.5,25.5,36.25,27.5
R_1gBFBoew44yWD5O,Bachelor,Neither English nor French,55-64,"$25,000 to $49,999",40000,Male,Ontario,Excellent,Yes,Yes,Married,No residence,2,53,6,93,22,54,42
R_22PV5LctDRvXsfa,Bachelor,English,55-64,"$125,000 and more",152000,Female,Ontario,Poor/Fair,Yes,Yes,Married,Own a residence,0,58.578947368421055,39.26315789473684,43.8421052631579,7.605263157894737,55.973684210526315,19.157894736842106
R_2abmDMt5EArm15T,College/Trade,English,65-74,"$50,000 to $74,999",51000,Male,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,0,50.25,49.55,29.8,13.6,45.05,31.45
R_3gL46e90ZGiLVaK,Bachelor,English,55-64,"$100,000 to $ 124,999",112000,Male,Newfoundland and Labrador,Good/Very Good,Yes,Yes,Married,Own a residence,0,72,6,6,0,61,6
R_efHfjn1Yu6p5Yyd,Bachelor,English_and_French,65-74,"$50,000 to $74,999",50000,Female,Quebec,Good/Very Good,Yes,Yes,Living with a partner,Own a residence,0,75,43,55,34.5,45,12.5
R_2zCOda1QfjjD3Bn,Bachelor,English_and_French,75-84,"$50,000 to $74,999",55000,Female,Ontario,Good/Very Good,Yes,Yes,Widowed,Own a residence,0,41,0,41,0,51,1
R_32W1YVMFO2VcmQS,High School,English,75-84,"$50,000 to $74,999",52000,Male,Nova Scoita,Poor/Fair,Yes,Yes,Widowed,No residence,0,21,97,53,0,0,0
R_2Sc81E34iMB8t6h,Postgrad,English,85+,"$25,000 to $49,999",40000,Female,Ontario,Good/Very Good,Yes,Yes,Separated,No residence,0,80,0,50,0,30,0
R_3MmPgIiFuXyh4Dq,Postgrad,Neither English nor French,65-74,"$100,000 to $ 124,999",120000,Male,Ontario,Good/Very Good,Yes,No,Married,Own a residence,0,85,10,65,0,92,0
R_4GxafKMoRWvb8zL,Bachelor,English,55-64,"$25,000 to $49,999",45000,Female,Ontario,Good/Very Good,Yes,Yes,Divorced,Own a residence,1,57.5,39.25,45.25,16.25,41,32.5
R_1FPKPeoc8upEB56,No degree/diploma,Neither English nor French,15-24,"Less than $25,000",16000,Male,Alberta,Poor/Fair,Yes,Yes,Never Married,No residence,4,30,30,85,76,72,25
R_3m1ZQTO5aB7NL3T,College/Trade,English,55-64,"$50,000 to $74,999",65000,Male,Ontario,Excellent,Yes,Yes,Divorced,Own a residence,0,73.54545454545455,23.727272727272727,52.45454545454545,25.636363636363637,53.63636363636363,34.81818181818182
R_2rkGW7gepqo2jRx,Bachelor,English,55-64,"$125,000 and more",170000,Female,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,0,58.578947368421055,39.26315789473684,43.8421052631579,7.605263157894737,55.973684210526315,19.157894736842106
R_2ZOIXJNpZN8IO1u,Postgrad,English,55-64,"$75,000 to $99,999",75000,Female,Ontario,Excellent,Yes,Yes,Married,Own a residence,2,47.4,53.8,48.2,16.6,58.6,25.8
R_1n1Tm7Jb19pkZUY,High School,Neither English nor French,65-74,"$50,000 to $74,999",59000,Female,Ontario,Good/Very Good,Yes,No,Married,Own a residence,0,94,30,73,21,82,22
R_xsdp1KIFkEk86bv,College/Trade,English,35-44,"Less than $25,000",15000,Male,Ontario,Poor/Fair,Yes,Yes,Never Married,No residence,2,59.666666666666664,32,69.66666666666667,0.3333333333333333,56,6
R_1gbXsomNmdwwaDI,Bachelor,English,45-54,"$100,000 to $ 124,999",100000,Female,Ontario,Good/Very Good,Yes,No,Married,Own a residence,1,30.875,73.25,38.625,19.875,40.5,31
R_21dOatnEG6at8fC,Bachelor,English,55-64,"$125,000 and more",240000,Male,Ontario,Good/Very Good,Yes,Yes,Living with a partner,Own a residence,1,27.666666666666668,70,47,9.333333333333334,54.666666666666664,20.333333333333332
R_3IYOl7HzM73hhoc,College/Trade,English_and_French,35-44,"$25,000 to $49,999",40000,Female,Ontario,Poor/Fair,Yes,Yes,Never Married,No residence,0,72,0,57,0,56,22
R_3QXFi6DCdfjQOuO,College/Trade,English,45-54,"$75,000 to $99,999",80000,Male,British Columbia,Poor/Fair,Yes,Yes,Married,Own a residence,0,42,60,38,15,20,30
R_3CDY4gDmFOQeTGB,College/Trade,English_and_French,65-74,"$75,000 to $99,999",95500,Male,Ontario,Poor/Fair,Yes,Yes,Living with a partner,No residence,2,72,0,92,63,0,0
R_UQJqj9sPbudXx9T,High School,English,75-84,"$25,000 to $49,999",26000,Female,Ontario,Good/Very Good,Yes,Yes,Widowed,No residence,1,51,71.66666666666667,27,33,57,50.666666666666664
R_2dnACoohrLDqrzv,Bachelor,English,45-54,"$50,000 to $74,999",72000,Female,Ontario,Don't Know,Yes,No,Divorced,Own a residence,0,46.4,28.2,52.4,15.2,49.6,36
R_2zj8cBR2SvfK75w,Postgrad,Neither English nor French,55-64,"$50,000 to $74,999",57000,Female,Ontario,Good/Very Good,Yes,No,Married,Own a residence,0,85,0,78,11,3,20
R_3ps9UcX2gPxUbV2,High School,English,45-54,"$50,000 to $74,999",69000,Male,Ontario,Don't Know,Yes,Yes,Married,Own a residence,0,16.2,49.4,67.4,25.2,43.8,61
R_2ZVSp83mLt9VDkt,Bachelor,English,35-44,"$25,000 to $49,999",30000,Female,Ontario,Poor/Fair,Yes,Yes,Married,No residence,4,25.666666666666668,28,42.666666666666664,30.333333333333332,48.333333333333336,18.333333333333332
R_BEfD4454WKolhHr,High School,English,45-54,"Less than $25,000",21000,Female,Quebec,Good/Very Good,Yes,Yes,Never Married,No residence,4,86,8,67,21,100,2
R_7WB5qmdKcIdqN0t,Bachelor,English_and_French,25-34,"$50,000 to $74,999",57000,Male,Maintoba,Good/Very Good,Yes,Yes,Never Married,No residence,1,71,90,8,0,10,35
R_1DBTwecLjDCyqn9,Postgrad,English,45-54,"$125,000 and more",250000,Male,Ontario,Good/Very Good,Yes,No,Married,Own a residence,1,37.333333333333336,52.4,32.8,16.066666666666666,40.4,16.933333333333334
R_20NewS6kMoO6KaY,Bachelor,English,45-54,"$100,000 to $ 124,999",100000,Female,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,0,30.875,73.25,38.625,19.875,40.5,31
R_3ETsEvkWbN7wiMl,Postgrad,English_and_French,25-34,"$75,000 to $99,999",90200,Male,Ontario,Good/Very Good,Yes,Yes,Never Married,No residence,4,8,4,35,10,85,15
R_2B4gPDT9cpf2GJe,High School,English,15-24,"$25,000 to $49,999",40000,Female,Ontario,Poor/Fair,Yes,Yes,Never Married,No residence,0,69,56,45,48.666666666666664,56,43.333333333333336
R_yvSc9MoNDhphtYZ,Postgrad,English,35-44,"$75,000 to $99,999",95000,Male,Ontario,Good/Very Good,Yes,Yes,Living with a partner,No residence,1,49.5,30.5,47.5,16.5,54,16.5
R_1eXmX6vR2el5Hai,Bachelor,English,35-44,"$100,000 to $ 124,999",108000,Male,Ontario,Poor/Fair,Yes,Yes,Married,Own a residence,2,62.30769230769231,51.69230769230769,51.15384615384615,26.76923076923077,43.53846153846154,29
R_6RPAvNtx48HTmY9,High School,English,25-34,"$50,000 to $74,999",59000,Female,British Columbia,Poor/Fair,Yes,Yes,Living with a partner,Own a residence,2,31,15,87,0,72,0
R_3p4uqmGQurFFBAE,Bachelor,English,45-54,"$75,000 to $99,999",81000,Male,Ontario,Good/Very Good,Yes,Yes,Married,No residence,2,40.55555555555556,53,34.55555555555556,13.166666666666666,36.5,18.166666666666668
R_emQjGcjkI3Vsvn3,College/Trade,English,55-64,"Less than $25,000",7999,Male,Ontario,Poor/Fair,Yes,Yes,Married,Own a residence,2,56.75,33,39.25,12.75,66.75,11
R_2TnMZ06hKmbTdvf,College/Trade,English,25-34,"$50,000 to $74,999",70000,Male,Alberta,Good/Very Good,Yes,Yes,Never Married,Own a residence,0,90,90,50,50,50,50
R_33wpupd53eDyQgz,College/Trade,English,75-84,"$50,000 to $74,999",55000,Female,Newfoundland and Labrador,Poor/Fair,Yes,Yes,Married,Own a residence,1,50,40,10,13,0,11
R_2Cjt5ZeTBXIVLJj,College/Trade,Neither English nor French,45-54,"$50,000 to $74,999",62000,Female,Ontario,Excellent,Yes,Yes,Never Married,Own a residence,0,100,0,51,0,0,0
R_2UXzqUZTVPIXXn5,Bachelor,English,25-34,"$50,000 to $74,999",60000,Female,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,0,60.625,40.75,47.875,27.75,55.25,42
R_eyb9obwN1lstOM1,Bachelor,English,65-74,"$100,000 to $ 124,999",120000,Male,Nova Scoita,Good/Very Good,Yes,Yes,Married,Own a residence,2,85,15,70,5,50,5
R_vC7NkRvDpFpvyHT,College/Trade,English,75-84,"$75,000 to $99,999",80000,Male,Ontario,Poor/Fair,Yes,Yes,Married,Own a residence,0,23,53.5,43.25,11.5,50.5,17.5
R_21vttM9TvtxfO3X,College/Trade,English,65-74,"$25,000 to $49,999",32000,Female,Newfoundland and Labrador,Good/Very Good,Yes,Yes,Divorced,No residence,0,64,100,64,64,53,54
R_3MrFA2ktLdEK4n6,High School,English,55-64,"$25,000 to $49,999",33000,Male,Ontario,Poor/Fair,Yes,Yes,Married,Own a residence,1,38.2,81.2,22.2,11,36,21
R_2uDpsbpoPfeNUWa,Postgrad,English,25-34,"$100,000 to $ 124,999",123000,Male,Ontario,Good/Very Good,Yes,No,Married,Own a residence,0,68.33333333333333,61,67.66666666666667,58.666666666666664,67,45
R_2wpo81Ft0dmlUBI,High School,English,35-44,"$50,000 to $74,999",72000,Male,Ontario,Good/Very Good,Yes,Yes,Living with a partner,Own a residence,1,0,81,20,0,0,0
R_2t2Ol2Kq6x1HaVo,College/Trade,Neither English nor French,65-74,"$50,000 to $74,999",60000,Male,Ontario,Good/Very Good,Yes,No,Married,Own a residence,0,100,10,80,0,75,0
R_25GXomDNmOeQ5mW,Bachelor,English,55-64,"$25,000 to $49,999",38000,Female,Ontario,Poor/Fair,Yes,Yes,Divorced,No residence,0,57.5,39.25,45.25,16.25,41,32.5
R_3O2NkCoDKRXE4nM,Bachelor,English,55-64,"$25,000 to $49,999",45000,Female,Ontario,Good/Very Good,Yes,Yes,Separated,Own a residence,1,14.5,49,56.5,4.5,37,21
R_2Bafrkjzm5RHJFQ,Bachelor,English,75-84,"$25,000 to $49,999",44000,Female,Nova Scoita,Good/Very Good,Yes,Yes,Married,Own a residence,0,100,0,66,0,86,0
R_cOzrsO0DABrlEfT,College/Trade,English_and_French,45-54,"$100,000 to $ 124,999",100000,Female,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,4,70,3,73,2,63,21
R_3NyP1yCIHotebqi,Postgrad,Neither English nor French,45-54,"$125,000 and more",192000,Male,Quebec,Good/Very Good,Yes,Yes,Married,Own a residence,0,60,61,23,9,40,20
R_3PNNOq5vxPBJrLx,Postgrad,English,25-34,"$75,000 to $99,999",97000,Male,Ontario,Good/Very Good,Yes,Yes,Never Married,Own a residence,0,58.5,26.5,62.5,32.5,57,5
R_2CV4HS6VDU25hXT,Bachelor,English,55-64,"$75,000 to $99,999",88000,Female,Ontario,Good/Very Good,Yes,Yes,Separated,Own a residence,0,76,15,68,0,33,0
R_x3e4nxnzetpJezD,Bachelor,Neither English nor French,65-74,"$75,000 to $99,999",80000,Female,Ontario,Excellent,Yes,Yes,Widowed,Own a residence,1,0,74,70,21,66,70
R_1LNWcvIIvcy2TIV,Bachelor,English,35-44,"$50,000 to $74,999",69000,Female,Ontario,Good/Very Good,Yes,Yes,Never Married,Own a residence,0,75.5,29.666666666666668,55.166666666666664,12.666666666666666,64.33333333333333,18
R_28YvU5w7h09BNgN,Bachelor,English,55-64,"$100,000 to $ 124,999",123123,Male,Ontario,Excellent,Yes,Yes,Married,Own a residence,0,61.76923076923077,39.76923076923077,57.30769230769231,11.615384615384615,60.76923076923077,7.769230769230769
